"ltla21_code","total_residents","sexual_orientation","n","prop"
"E07000102",75003,"Straight or Heterosexual",68658,"0.915403384"
"E07000102",75003,"Gay or Lesbian",675,"0.008999640"
"E07000102",75003,"Bisexual",576,"0.007679693"
"E07000102",75003,"All other sexual orientations",164,"0.002186579"
"E07000102",75003,"Not answered",4930,"0.065730704"
"E07000103",80963,"Straight or Heterosexual",72016,"0.889492731"
"E07000103",80963,"Gay or Lesbian",914,"0.011289107"
"E07000103",80963,"Bisexual",962,"0.011881971"
"E07000103",80963,"All other sexual orientations",312,"0.003853612"
"E07000103",80963,"Not answered",6759,"0.083482578"
"E07000105",106769,"Straight or Heterosexual",97030,"0.908784385"
"E07000105",106769,"Gay or Lesbian",1378,"0.012906368"
"E07000105",106769,"Bisexual",1107,"0.010368178"
"E07000105",106769,"All other sexual orientations",290,"0.002716144"
"E07000105",106769,"Not answered",6964,"0.065224925"
"E07000106",132773,"Straight or Heterosexual",116186,"0.875072492"
"E07000106",132773,"Gay or Lesbian",2354,"0.017729508"
"E07000106",132773,"Bisexual",2926,"0.022037613"
"E07000106",132773,"All other sexual orientations",687,"0.005174245"
"E07000106",132773,"Not answered",10620,"0.079986142"
"E07000107",90698,"Straight or Heterosexual",82718,"0.912015700"
"E07000107",90698,"Gay or Lesbian",1047,"0.011543805"
"E07000107",90698,"Bisexual",822,"0.009063044"
"E07000107",90698,"All other sexual orientations",177,"0.001951531"
"E07000107",90698,"Not answered",5934,"0.065425919"
"E07000108",96130,"Straight or Heterosexual",86739,"0.902309373"
"E07000108",96130,"Gay or Lesbian",1570,"0.016332050"
"E07000108",96130,"Bisexual",1079,"0.011224384"
"E07000108",96130,"All other sexual orientations",218,"0.002267762"
"E07000108",96130,"Not answered",6524,"0.067866431"
"E07000109",84555,"Straight or Heterosexual",76943,"0.909975755"
"E07000109",84555,"Gay or Lesbian",892,"0.010549347"
"E07000109",84555,"Bisexual",821,"0.009709656"
"E07000109",84555,"All other sexual orientations",278,"0.003287801"
"E07000109",84555,"Not answered",5621,"0.066477441"
"E07000110",142136,"Straight or Heterosexual",129562,"0.911535431"
"E07000110",142136,"Gay or Lesbian",1687,"0.011868914"
"E07000110",142136,"Bisexual",1372,"0.009652727"
"E07000110",142136,"All other sexual orientations",362,"0.002546857"
"E07000110",142136,"Not answered",9153,"0.064396071"
"E07000111",96603,"Straight or Heterosexual",88646,"0.917631958"
"E07000111",96603,"Gay or Lesbian",942,"0.009751250"
"E07000111",96603,"Bisexual",713,"0.007380723"
"E07000111",96603,"All other sexual orientations",169,"0.001749428"
"E07000111",96603,"Not answered",6133,"0.063486641"
"E07000112",91555,"Straight or Heterosexual",82894,"0.905401125"
"E07000112",91555,"Gay or Lesbian",1341,"0.014646934"
"E07000112",91555,"Bisexual",980,"0.010703948"
"E07000112",91555,"All other sexual orientations",242,"0.002643220"
"E07000112",91555,"Not answered",6098,"0.066604773"
"E07000113",122000,"Straight or Heterosexual",111489,"0.913844262"
"E07000113",122000,"Gay or Lesbian",1687,"0.013827869"
"E07000113",122000,"Bisexual",1219,"0.009991803"
"E07000113",122000,"All other sexual orientations",326,"0.002672131"
"E07000113",122000,"Not answered",7279,"0.059663934"
"E07000114",115417,"Straight or Heterosexual",103415,"0.896011853"
"E07000114",115417,"Gay or Lesbian",1938,"0.016791287"
"E07000114",115417,"Bisexual",1534,"0.013290936"
"E07000114",115417,"All other sexual orientations",397,"0.003439701"
"E07000114",115417,"Not answered",8133,"0.070466222"
"E07000115",105526,"Straight or Heterosexual",97074,"0.919905995"
"E07000115",105526,"Gay or Lesbian",1000,"0.009476338"
"E07000115",105526,"Bisexual",947,"0.008974092"
"E07000115",105526,"All other sexual orientations",207,"0.001961602"
"E07000115",105526,"Not answered",6298,"0.059681974"
"E07000116",92402,"Straight or Heterosexual",83692,"0.905737971"
"E07000116",92402,"Gay or Lesbian",1076,"0.011644770"
"E07000116",92402,"Bisexual",1001,"0.010833099"
"E07000116",92402,"All other sexual orientations",244,"0.002640635"
"E07000116",92402,"Not answered",6389,"0.069143525"
"E07000117",75199,"Straight or Heterosexual",67539,"0.898136943"
"E07000117",75199,"Gay or Lesbian",974,"0.012952300"
"E07000117",75199,"Bisexual",741,"0.009853854"
"E07000117",75199,"All other sexual orientations",236,"0.003138340"
"E07000117",75199,"Not answered",5709,"0.075918563"
"E07000118",96369,"Straight or Heterosexual",88330,"0.916581058"
"E07000118",96369,"Gay or Lesbian",1257,"0.013043614"
"E07000118",96369,"Bisexual",976,"0.010127738"
"E07000118",96369,"All other sexual orientations",165,"0.001712169"
"E07000118",96369,"Not answered",5641,"0.058535421"
"E07000119",69250,"Straight or Heterosexual",63551,"0.917703971"
"E07000119",69250,"Gay or Lesbian",1012,"0.014613718"
"E07000119",69250,"Bisexual",557,"0.008043321"
"E07000119",69250,"All other sexual orientations",136,"0.001963899"
"E07000119",69250,"Not answered",3994,"0.057675090"
"E07000120",65631,"Straight or Heterosexual",59339,"0.904130670"
"E07000120",65631,"Gay or Lesbian",808,"0.012311255"
"E07000120",65631,"Bisexual",636,"0.009690543"
"E07000120",65631,"All other sexual orientations",136,"0.002072191"
"E07000120",65631,"Not answered",4712,"0.071795341"
"E07000121",119640,"Straight or Heterosexual",105041,"0.877975593"
"E07000121",119640,"Gay or Lesbian",2128,"0.017786693"
"E07000121",119640,"Bisexual",2491,"0.020820796"
"E07000121",119640,"All other sexual orientations",579,"0.004839519"
"E07000121",119640,"Not answered",9401,"0.078577399"
"E07000122",75222,"Straight or Heterosexual",67188,"0.893196139"
"E07000122",75222,"Gay or Lesbian",750,"0.009970487"
"E07000122",75222,"Bisexual",608,"0.008082742"
"E07000122",75222,"All other sexual orientations",228,"0.003031028"
"E07000122",75222,"Not answered",6448,"0.085719603"
"E07000123",118669,"Straight or Heterosexual",105022,"0.884999452"
"E07000123",118669,"Gay or Lesbian",1844,"0.015539020"
"E07000123",118669,"Bisexual",2144,"0.018067060"
"E07000123",118669,"All other sexual orientations",505,"0.004255534"
"E07000123",118669,"Not answered",9154,"0.077138933"
"E07000124",51462,"Straight or Heterosexual",47597,"0.924896040"
"E07000124",51462,"Gay or Lesbian",444,"0.008627725"
"E07000124",51462,"Bisexual",337,"0.006548521"
"E07000124",51462,"All other sexual orientations",68,"0.001321363"
"E07000124",51462,"Not answered",3016,"0.058606350"
"E07000125",57298,"Straight or Heterosexual",52249,"0.911881741"
"E07000125",57298,"Gay or Lesbian",779,"0.013595588"
"E07000125",57298,"Bisexual",530,"0.009249887"
"E07000125",57298,"All other sexual orientations",131,"0.002286293"
"E07000125",57298,"Not answered",3609,"0.062986492"
"E07000126",91499,"Straight or Heterosexual",84262,"0.920906239"
"E07000126",91499,"Gay or Lesbian",1156,"0.012634018"
"E07000126",91499,"Bisexual",871,"0.009519230"
"E07000126",91499,"All other sexual orientations",158,"0.001726795"
"E07000126",91499,"Not answered",5052,"0.055213718"
"E07000127",98333,"Straight or Heterosexual",89277,"0.907904773"
"E07000127",98333,"Gay or Lesbian",1240,"0.012610212"
"E07000127",98333,"Bisexual",1246,"0.012671229"
"E07000127",98333,"All other sexual orientations",282,"0.002867806"
"E07000127",98333,"Not answered",6288,"0.063945979"
"E07000128",94351,"Straight or Heterosexual",86350,"0.915199627"
"E07000128",94351,"Gay or Lesbian",1382,"0.014647434"
"E07000128",94351,"Bisexual",712,"0.007546290"
