"ltla21_code","total_population","legal_partnership","n","prop"
"E06000047",433959,"Married or in a registered civil partnership; measures: Value",188422,"0.434193091974"
"E06000047",433959,"Married or in a registered civil partnership: Married; measures: Value",187773,"0.432697558986"
"E06000047",433959,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",186775,"0.430397802557"
"E06000047",433959,"Married or in a registered civil partnership: Married: Same sex; measures: Value",998,"0.002299756429"
"E06000047",433959,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",649,"0.001495532988"
"E06000047",433959,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",209,"0.000481612318"
"E06000047",433959,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",440,"0.001013920670"
"E06000047",433959,"Separated, but still legally married or still legally in a civil partnership; measures: Value",10909,"0.025138319519"
"E06000047",433959,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",10846,"0.024993144514"
"E06000047",433959,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",63,"0.000145175005"
"E06000047",433959,"Divorced or civil partnership dissolved; measures: Value",43446,"0.100115448694"
"E06000047",433959,"Divorced or civil partnership dissolved: Divorced; measures: Value",43357,"0.099910360195"
"E06000047",433959,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",89,"0.000205088499"
"E06000047",433959,"Widowed or surviving civil partnership partner; measures: Value",31040,"0.071527494533"
"E06000047",433959,"Widowed or surviving civil partnership partner: Widowed; measures: Value",31002,"0.071439928657"
"E06000047",433959,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",38,"0.000087565876"
"E06000057",268848,"Never married and never registered a civil partnership; measures: Value",82048,"0.305183598167"
"E06000057",268848,"Married or in a registered civil partnership; measures: Value",132592,"0.493185740642"
"E06000057",268848,"Married or in a registered civil partnership: Married; measures: Value",132129,"0.491463577933"
"E06000057",268848,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",131483,"0.489060733202"
"E06000057",268848,"Married or in a registered civil partnership: Married: Same sex; measures: Value",646,"0.002402844730"
"E06000057",268848,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",463,"0.001722162709"
"E06000057",268848,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",144,"0.000535618640"
"E06000057",268848,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",319,"0.001186544070"
"E06000057",268848,"Separated, but still legally married or still legally in a civil partnership; measures: Value",6837,"0.025430726656"
"E06000057",268848,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",6799,"0.025289382848"
"E06000057",268848,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",38,"0.000141343808"
"E06000057",268848,"Divorced or civil partnership dissolved; measures: Value",26691,"0.099279146581"
"E06000057",268848,"Divorced or civil partnership dissolved: Divorced; measures: Value",26642,"0.099096887461"
"E06000057",268848,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",49,"0.000182259120"
"E06000057",268848,"Widowed or surviving civil partnership partner; measures: Value",20680,"0.076920787955"
"E06000057",268848,"Widowed or surviving civil partnership partner: Widowed; measures: Value",20668,"0.076876153068"
"E06000057",268848,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",12,"0.000044634887"
"E08000021",248450,"Never married and never registered a civil partnership; measures: Value",124259,"0.500136848460"
"E08000021",248450,"Married or in a registered civil partnership; measures: Value",87697,"0.352976454015"
"E08000021",248450,"Married or in a registered civil partnership: Married; measures: Value",87185,"0.350915677199"
"E08000021",248450,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",86547,"0.348347756088"
