"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RPA","March 2024",548,520,0.949,511,490,0.959,37,30,0.811,29,18,0.618,0,0,NA,20,14,0.718
"RPC","March 2024",55,25,0.46,53,25,0.474,2,0,0.097,4,2,0.486,NA,NA,NA,NA,NA,NA
"RPY","March 2024",203,170,0.834,186,160,0.864,18,9,0.514,16,11,0.702,NA,NA,NA,NA,NA,NA
"RQ3","March 2024",278,234,0.842,24,15,0.642,254,219,0.861,0,0,NA,29,29,0.997,20,13,0.649
"RQM","March 2024",771,743,0.964,700,684,0.977,70,59,0.834,24,23,0.934,10,6,0.631,50,41,0.825
"RQW","March 2024",450,438,0.972,432,422,0.977,18,15,0.86,10,9,0.85,0,0,NA,6,3,0.478
"RQX","March 2024",275,256,0.933,257,242,0.943,18,14,0.783,12,9,0.753,0,0,NA,24,20,0.832
"RR7","March 2024",466,432,0.927,466,432,0.927,0,0,NA,13,7,0.592,0,0,NA,0,0,NA
"RR8","March 2024",1825,1762,0.965,1697,1644,0.969,128,118,0.916,61,60,0.976,15,12,0.799,26,20,0.798
"RRF","March 2024",412,412,1,412,412,1,0,0,NA,11,7,0.598,0,0,NA,1,1,0.742
"RRJ","March 2024",105,77,0.728,105,77,0.728,0,0,NA,6,4,0.645,0,0,NA,0,0,NA
"RRK","March 2024",2493,2448,0.982,2415,2380,0.986,78,68,0.876,88,85,0.97,NA,NA,NA,13,13,0.965
"RRV","March 2024",767,675,0.88,704,638,0.906,63,38,0.594,67,52,0.769,0,0,NA,30,27,0.893
"RTD","March 2024",1445,1301,0.9,1286,1157,0.9,159,144,0.906,87,64,0.74,25,18,0.697,12,5,0.468
"RTE","March 2024",848,779,0.919,797,751,0.942,51,28,0.551,25,16,0.648,0,0,NA,12,7,0.573
"RTF","March 2024",837,752,0.899,818,741,0.906,18,10,0.567,15,10,0.68,0,0,NA,12,4,0.347
"RTG","March 2024",1476,1383,0.937,1435,1356,0.945,40,27,0.665,51,40,0.79,0,0,NA,28,21,0.745
"RTH","March 2024",1038,993,0.957,957,920,0.962,81,73,0.901,58,44,0.767,17,12,0.721,30,28,0.938
"RTK","March 2024",472,437,0.925,452,421,0.93,20,16,0.813,12,10,0.861,0,0,NA,8,2,0.29
"RTP","March 2024",717,698,0.974,688,673,0.978,28,25,0.883,16,14,0.888,0,0,NA,23,13,0.557
"RTR","March 2024",959,867,0.904,891,825,0.925,68,42,0.618,61,53,0.871,0,0,NA,15,11,0.749
"RTX","March 2024",637,579,0.909,605,556,0.92,33,23,0.701,14,9,0.631,0,0,NA,1,0,0
"RVJ","March 2024",938,913,0.973,938,913,0.973,NA,NA,NA,46,41,0.89,NA,NA,NA,32,25,0.773
"RVR","March 2024",676,593,0.878,643,569,0.886,33,24,0.724,21,14,0.671,0,0,NA,0,0,NA
"RVV","March 2024",1094,1025,0.937,1038,978,0.942,56,47,0.843,45,27,0.603,NA,NA,NA,44,19,0.431
"RVW","March 2024",551,500,0.907,525,484,0.922,26,16,0.597,16,10,0.627,0,0,NA,0,0,NA
"RWA","March 2024",1178,1097,0.931,1127,1062,0.942,51,35,0.694,44,35,0.798,0,0,NA,6,6,0.959
"RWD","March 2024",1024,957,0.935,992,933,0.941,33,24,0.74,25,21,0.821,0,0,NA,23,13,0.562
"RWE","March 2024",1760,1583,0.899,1652,1499,0.907,108,84,0.777,86,54,0.628,13,12,0.887,42,35,0.836
"RWF","March 2024",722,640,0.886,697,617,0.886,25,23,0.902,31,16,0.528,0,0,NA,0,0,NA
"RWG","March 2024",670,610,0.911,632,588,0.93,38,23,0.595,19,13,0.66,0,0,NA,7,4,0.585
"RWH","March 2024",584,525,0.899,554,505,0.91,30,21,0.687,18,11,0.629,NA,NA,NA,10,2,0.161
"RWJ","March 2024",642,605,0.942,620,588,0.948,22,18,0.788,12,8,0.69,0,0,NA,5,1,0.258
"RWP","March 2024",874,829,0.949,843,805,0.955,31,25,0.794,15,12,0.816,NA,NA,NA,6,2,0.312
"RWW","March 2024",573,541,0.943,533,516,0.969,40,24,0.606,18,16,0.873,0,0,NA,2,1,0.387
"RWY","March 2024",682,663,0.972,640,636,0.993,42,27,0.647,13,7,0.504,0,0,NA,6,4,0.694
"RX1","March 2024",1683,1570,0.933,1570,1477,0.941,113,93,0.825,66,47,0.705,14,13,0.92,41,35,0.855
"RXC","March 2024",789,767,0.971,772,752,0.974,17,15,0.846,19,13,0.691,0,0,0,12,6,0.508
"RXF","March 2024",1023,978,0.956,976,958,0.981,47,20,0.434,18,11,0.616,0,0,NA,7,2,0.281
"RXK","March 2024",659,632,0.959,613,595,0.971,46,37,0.804,24,23,0.992,0,0,NA,10,0,0
"RXL","March 2024",821,767,0.934,777,743,0.956,44,24,0.551,36,27,0.742,0,0,NA,4,2,0.468
"RXN","March 2024",875,844,0.964,845,820,0.97,30,24,0.788,34,30,0.894,0,0,NA,28,22,0.795
"RXP","March 2024",874,791,0.904,843,769,0.912,31,22,0.698,21,14,0.653,NA,NA,NA,NA,NA,NA
"RXQ","March 2024",472,442,0.937,432,410,0.95,40,32,0.8,18,13,0.708,0,0,NA,5,4,0.772
"RXR","March 2024",729,705,0.967,678,671,0.989,51,35,0.683,28,23,0.838,NA,NA,NA,8,4,0.516
"RXW","March 2024",833,801,0.962,802,776,0.968,31,25,0.809,25,15,0.606,0,0,NA,6,5,0.788
"RYJ","March 2024",1044,958,0.918,1011,929,0.919,33,29,0.874,96,88,0.917,13,8,0.625,46,37,0.81
"RYR","March 2024",1775,1697,0.956,1689,1625,0.962,86,72,0.829,63,55,0.87,0,0,NA,67,40,0.588
"R0A","April 2024",2291,2106,0.919,2001,1878,0.938,290,228,0.787,124,101,0.816,46,37,0.796,72,57,0.797
"R0B","April 2024",1141,1030,0.902,1093,1006,0.92,48,24,0.497,22,13,0.579,0,0,NA,7,5,0.687
"R0D","April 2024",1129,1058,0.936,1103,1040,0.943,26,18,0.673,22,16,0.723,0,0,NA,20,14,0.713
"R1F","April 2024",279,273,0.976,269,266,0.988,10,7,0.674,6,5,0.82,0,0,NA,0,0,NA
"R1H","April 2024",1659,1537,0.927,1501,1405,0.936,158,132,0.834,118,109,0.92,5,4,0.673,52,44,0.846
"R1K","April 2024",1066,1015,0.953,1046,1000,0.957,20,15,0.747,55,46,0.83,0,0,NA,5,5,0.938
"RA2","April 2024",487,466,0.956,458,449,0.981,29,16,0.564,17,16,0.907,0,0,NA,4,1,0.133
"RA7","April 2024",1018,946,0.929,880,835,0.949,138,110,0.8,56,51,0.914,18,13,0.741,31,26,0.846
"RA9","April 2024",409,392,0.958,385,372,0.967,24,20,0.821,10,5,0.517,NA,NA,NA,NA,NA,NA
"RAE","April 2024",618,583,0.944,574,551,0.961,44,32,0.727,14,12,0.898,0,0,NA,11,11,1
"RAJ","April 2024",1763,1630,0.924,1688,1585,0.939,75,45,0.594,74,66,0.892,0,0,NA,28,17,0.603
"RAL","April 2024",990,949,0.959,948,920,0.97,42,30,0.704,67,62,0.929,0,0,NA,4,1,0.275
"RAN","April 2024",167,134,0.801,143,115,0.803,24,19,0.789,13,5,0.406,5,2,0.402,0,0,NA
"RAP","April 2024",486,484,0.996,470,468,0.996,16,16,0.977,21,18,0.873,NA,NA,NA,NA,NA,NA
"RAS","April 2024",369,352,0.954,345,335,0.97,24,18,0.733,12,10,0.858,0,0,NA,12,9,0.759
"RAX","April 2024",410,387,0.945,386,370,0.958,24,18,0.738,15,10,0.696,NA,NA,NA,20,10,0.475
"RBD","April 2024",325,313,0.963,311,302,0.972,14,11,0.769,9,7,0.872,0,0,NA,0,0,NA
"RBK","April 2024",537,486,0.905,489,454,0.928,48,32,0.665,13,9,0.659,NA,NA,NA,2,1,0.317
"RBL","April 2024",758,713,0.94,739,701,0.949,19,12,0.627,18,11,0.619,NA,NA,NA,7,5,0.686
"RBN","April 2024",1215,1188,0.977,1168,1145,0.98,47,43,0.911,32,20,0.627,0,0,NA,0,0,NA
"RBQ","April 2024",156,137,0.877,156,137,0.877,NA,NA,NA,30,19,0.628,NA,NA,NA,NA,NA,NA
"RBS","April 2024",214,163,0.759,0,0,NA,214,163,0.759,0,0,NA,21,15,0.729,0,0,NA
"RBT","April 2024",512,456,0.89,485,443,0.913,27,13,0.481,11,7,0.588,0,0,NA,15,8,0.518
"RBV","April 2024",181,160,0.884,181,160,0.884,NA,NA,NA,8,5,0.625,NA,NA,NA,NA,NA,NA
"RC9","April 2024",1093,1065,0.974,997,979,0.982,96,86,0.896,26,15,0.585,0,0,NA,25,24,0.932
"RCB","April 2024",892,837,0.938,853,817,0.958,40,20,0.492,31,15,0.474,0,0,NA,2,2,0.967
"RCD","April 2024",316,267,0.847,297,260,0.877,19,7,0.37,11,5,0.479,0,0,NA,0,0,NA
"RCF","April 2024",354,336,0.95,338,325,0.961,15,11,0.703,7,5,0.743,0,0,NA,0,0,NA
"RCU","April 2024",150,100,0.667,0,0,NA,150,100,0.667,0,0,NA,9,6,0.615,2,0,0.233
"RCX","April 2024",551,533,0.967,531,517,0.974,20,16,0.797,13,9,0.656,NA,NA,NA,3,0,0
"RD1","April 2024",534,519,0.972,513,502,0.979,21,17,0.795,13,11,0.826,0,0,NA,7,6,0.848
"RD8","April 2024",553,518,0.936,504,491,0.974,49,27,0.548,10,7,0.653,0,0,NA,4,3,0.808
"RDE","April 2024",1235,1179,0.955,1194,1151,0.963,41,29,0.702,32,20,0.636,0,0,NA,11,7,0.653
"RDU","April 2024",1443,1346,0.933,1386,1305,0.941,57,41,0.725,24,21,0.867,0,0,NA,20,20,0.977
"REF","April 2024",667,641,0.96,630,621,0.985,37,20,0.534,15,11,0.744,0,0,NA,7,4,0.624
"REM","April 2024",1620,1513,0.933,1620,1513,0.933,0,0,NA,60,49,0.803,NA,NA,NA,NA,NA,NA
"REN","April 2024",101,89,0.882,101,89,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","April 2024",24,13,0.538,24,13,0.538,NA,NA,NA,2,1,0.55,NA,NA,NA,44,31,0.705
"RET","April 2024",152,120,0.79,152,120,0.79,0,0,NA,20,15,0.742,0,0,NA,0,0,NA
"RF4","April 2024",998,927,0.929,959,893,0.932,39,34,0.87,57,49,0.867,0,0,NA,11,8,0.73
"RFF","April 2024",468,444,0.948,460,438,0.953,8,5,0.667,24,19,0.782,0,0,NA,2,1,0.5
"RFR","April 2024",476,433,0.911,454,423,0.932,22,11,0.494,13,8,0.646,0,0,NA,14,7,0.464
"RFS","April 2024",528,511,0.968,510,496,0.973,18,15,0.813,15,11,0.764,0,0,NA,3,2,0.731
"RGM","April 2024",182,174,0.956,182,174,0.956,NA,NA,NA,35,29,0.84,NA,NA,NA,NA,NA,NA
"RGN","April 2024",969,940,0.97,925,904,0.977,44,36,0.821,22,19,0.878,NA,NA,NA,3,2,0.634
"RGP","April 2024",494,473,0.958,465,452,0.971,28,21,0.754,12,8,0.681,0,0,NA,9,5,0.567
"RGR","April 2024",483,452,0.936,468,442,0.944,15,10,0.676,16,14,0.886,0,0,NA,12,8,0.642
"RGT","April 2024",1059,978,0.923,982,915,0.932,78,62,0.801,63,54,0.862,9,5,0.504,50,33,0.654
"RH5","April 2024",1025,933,0.91,958,892,0.931,67,41,0.608,27,20,0.736,0,0,NA,8,3,0.35
"RH8","April 2024",1129,1002,0.888,1085,977,0.9,44,25,0.572,37,19,0.505,0,0,NA,8,7,0.892
"RHM","April 2024",1118,1061,0.949,1026,980,0.955,92,81,0.881,99,78,0.79,15,14,0.943,12,10,0.823
"RHQ","April 2024",1466,1356,0.924,1466,1356,0.924,NA,NA,NA,106,71,0.664,NA,NA,NA,47,30,0.625
"RHU","April 2024",1122,1068,0.952,1092,1050,0.962,30,18,0.611,20,20,0.985,0,0,NA,14,12,0.867
"RHW","April 2024",580,555,0.957,521,507,0.973,59,48,0.817,20,18,0.92,NA,NA,NA,2,1,0.483
"RJ1","April 2024",960,824,0.858,840,746,0.888,120,78,0.652,80,69,0.865,19,16,0.835,20,17,0.835
"RJ2","April 2024",970,950,0.979,931,916,0.984,39,34,0.876,36,24,0.68,0,0,NA,5,1,0.2
"RJ6","April 2024",483,476,0.985,465,461,0.992,18,15,0.817,15,13,0.842,0,0,NA,9,3,0.378
"RJ7","April 2024",860,818,0.951,809,771,0.954,51,46,0.908,55,52,0.951,14,11,0.774,39,31,0.798
"RJC","April 2024",400,377,0.944,383,364,0.951,17,13,0.786,7,4,0.614,0,0,NA,12,5,0.433
"RJE","April 2024",1567,1431,0.913,1509,1380,0.915,59,51,0.865,75,64,0.859,7,6,0.824,14,12,0.909
"RJL","April 2024",598,559,0.934,563,538,0.957,36,20,0.571,14,12,0.857,0,0,NA,27,15,0.556
"RJN","April 2024",317,297,0.938,302,288,0.956,15,9,0.573,6,4,0.6,0,0,NA,0,0,NA
"RJR","April 2024",468,450,0.961,446,437,0.978,22,13,0.606,15,13,0.86,0,0,NA,12,6,0.517
"RJZ","April 2024",1258,1229,0.977,1186,1165,0.982,72,64,0.882,121,118,0.974,16,13,0.783,48,36,0.743
"RK5","April 2024",688,663,0.963,661,643,0.972,27,20,0.743,13,11,0.91,0,0,NA,10,4,0.407
"RK9","April 2024",1092,1009,0.924,1035,984,0.951,56,25,0.439,46,29,0.62,0,0,NA,15,15,0.971
"RKB","April 2024",1087,1058,0.973,1029,1013,0.985,59,44,0.751,44,35,0.804,0,0,NA,27,21,0.778
"RKE","April 2024",277,274,0.989,260,260,1,17,14,0.822,12,10,0.861,0,0,NA,6,3,0.511
"RL1","April 2024",146,114,0.778,138,109,0.792,9,5,0.57,6,3,0.533,NA,NA,NA,NA,NA,NA
"RL4","April 2024",831,808,0.972,804,782,0.972,27,26,0.963,28,18,0.656,0,0,NA,14,12,0.874
"RLQ","April 2024",324,324,1,310,310,1,14,14,1,8,6,0.754,0,0,NA,3,0,0.156
"RLT","April 2024",382,379,0.991,382,379,0.991,NA,NA,NA,8,5,0.633,NA,NA,NA,NA,NA,NA
"RM1","April 2024",997,960,0.962,970,941,0.97,28,19,0.696,39,31,0.788,0,0,NA,15,11,0.76
"RM3","April 2024",1574,1369,0.87,1525,1343,0.88,49,27,0.544,63,59,0.927,NA,NA,NA,9,5,0.519
"RMC","April 2024",595,537,0.902,536,504,0.94,59,33,0.56,18,12,0.683,0,0,NA,19,19,1
"RMP","April 2024",443,407,0.919,403,387,0.959,40,21,0.515,9,7,0.826,0,0,NA,1,0,0.25
"RN3","April 2024",554,534,0.963,520,510,0.982,35,23,0.671,12,8,0.675,0,0,NA,8,6,0.75
"RN5","April 2024",840,758,0.902,793,729,0.92,47,28,0.6,27,17,0.625,NA,NA,NA,4,1,0.2
"RN7","April 2024",566,536,0.948,522,504,0.966,44,32,0.732,12,11,0.923,0,0,NA,0,0,NA
"RNA","April 2024",643,609,0.947,610,593,0.971,33,16,0.499,29,21,0.724,0,0,NA,18,15,0.82
"RNN","April 2024",624,581,0.931,577,561,0.972,47,20,0.433,15,12,0.816,0,0,NA,0,0,NA
"RNQ","April 2024",541,533,0.985,519,516,0.994,22,17,0.773,10,10,0.967,NA,NA,NA,4,0,0.033
"RNS","April 2024",703,674,0.959,638,632,0.991,65,42,0.645,16,9,0.542,0,0,NA,2,1,0.615
"RNZ","April 2024",458,443,0.967,442,432,0.978,16,11,0.679,10,8,0.76,0,0,NA,4,0,0.092
"RP4","April 2024",259,212,0.815,NA,NA,NA,259,212,0.815,NA,NA,NA,47,36,0.771,NA,NA,NA
"RP5","April 2024",732,696,0.951,712,679,0.954,20,17,0.827,26,20,0.757,0,0,NA,3,0,0.048
"RP6","April 2024",10,4,0.387,10,4,0.387,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"RPA","April 2024",548,520,0.949,511,490,0.959,37,30,0.811,29,18,0.629,0,0,NA,20,13,0.67
"RPC","April 2024",55,29,0.526,53,29,0.543,2,0,0.083,5,2,0.407,NA,NA,NA,NA,NA,NA
"RPY","April 2024",206,166,0.807,188,157,0.837,18,9,0.498,16,9,0.544,NA,NA,NA,NA,NA,NA
"RQ3","April 2024",270,219,0.812,24,14,0.597,246,205,0.833,0,0,NA,30,30,0.999,21,19,0.892
"RQM","April 2024",760,731,0.961,690,678,0.982,70,53,0.75,24,20,0.842,10,6,0.615,50,43,0.855
"RQW","April 2024",457,447,0.978,439,433,0.987,18,14,0.761,10,9,0.863,0,0,NA,6,1,0.178
"RQX","April 2024",268,248,0.928,250,238,0.954,18,10,0.569,12,9,0.773,0,0,NA,24,21,0.88
"RR7","April 2024",462,439,0.95,462,439,0.95,0,0,NA,12,8,0.675,0,0,NA,0,0,NA
"RR8","April 2024",1827,1759,0.962,1697,1637,0.965,131,122,0.928,65,62,0.954,16,12,0.757,26,22,0.867
"RRF","April 2024",388,385,0.993,388,385,0.993,0,0,NA,11,6,0.552,0,0,NA,1,0,0.2
"RRJ","April 2024",98,71,0.728,98,71,0.728,0,0,NA,6,4,0.644,0,0,NA,0,0,NA
"RRK","April 2024",2474,2429,0.982,2396,2360,0.985,78,68,0.874,91,86,0.95,NA,NA,NA,12,10,0.802
"RRV","April 2024",765,666,0.871,701,629,0.897,64,38,0.587,69,53,0.769,0,0,NA,30,23,0.754
"RTD","April 2024",1424,1291,0.907,1262,1155,0.916,162,135,0.837,85,59,0.686,25,17,0.68,11,5,0.461
"RTE","April 2024",873,794,0.909,813,764,0.94,60,30,0.494,25,17,0.661,0,0,NA,12,7,0.567
"RTF","April 2024",841,773,0.919,823,764,0.929,18,8,0.461,15,11,0.759,0,0,NA,12,7,0.597
"RTG","April 2024",1470,1390,0.946,1430,1366,0.955,40,24,0.606,51,43,0.835,NA,NA,NA,28,22,0.769
"RTH","April 2024",1014,964,0.951,934,895,0.958,80,70,0.872,58,42,0.722,17,11,0.669,34,32,0.959
"RTK","April 2024",467,432,0.925,447,417,0.933,20,15,0.742,11,10,0.847,0,0,NA,8,5,0.617
"RTP","April 2024",702,684,0.975,673,662,0.984,29,22,0.766,16,14,0.86,0,0,NA,23,11,0.471
"RTR","April 2024",930,866,0.931,862,823,0.955,68,42,0.625,61,53,0.866,0,0,NA,15,11,0.743
"RTX","April 2024",628,540,0.86,595,521,0.875,32,19,0.582,14,8,0.604,0,0,NA,1,0,0
"RVJ","April 2024",939,917,0.977,939,917,0.977,NA,NA,NA,46,36,0.785,NA,NA,NA,32,21,0.644
"RVR","April 2024",662,589,0.89,629,569,0.905,33,20,0.594,21,17,0.817,0,0,NA,0,0,NA
"RVV","April 2024",1101,1020,0.926,1046,981,0.938,55,39,0.702,45,28,0.626,NA,NA,NA,44,21,0.471
"RVW","April 2024",533,498,0.934,513,483,0.942,21,15,0.739,16,13,0.842,0,0,NA,0,0,NA
"RWA","April 2024",1188,1093,0.92,1137,1061,0.933,51,32,0.629,44,30,0.677,0,0,NA,5,4,0.701
"RWD","April 2024",1022,949,0.929,989,925,0.935,33,25,0.755,25,19,0.743,0,0,NA,23,10,0.446
"RWE","April 2024",1744,1572,0.902,1636,1498,0.916,108,75,0.693,86,56,0.657,13,11,0.875,42,35,0.841
"RWF","April 2024",721,640,0.887,697,618,0.887,25,22,0.9,31,18,0.595,0,0,NA,0,0,NA
"RWG","April 2024",647,591,0.914,609,572,0.94,38,19,0.507,19,10,0.533,0,0,NA,7,2,0.329
"RWH","April 2024",592,523,0.882,562,503,0.894,30,20,0.664,18,14,0.798,NA,NA,NA,10,3,0.267
"RWJ","April 2024",634,587,0.927,612,575,0.941,22,12,0.539,13,9,0.654,0,0,NA,5,2,0.461
"RWP","April 2024",876,833,0.95,845,810,0.958,31,23,0.738,15,12,0.765,NA,NA,NA,6,1,0.094
"RWW","April 2024",574,535,0.933,534,516,0.966,40,20,0.491,18,15,0.856,0,0,NA,2,0,0.033
"RWY","April 2024",704,678,0.964,665,654,0.983,39,24,0.629,12,8,0.671,0,0,NA,6,4,0.717
"RX1","April 2024",1683,1545,0.918,1574,1460,0.928,109,85,0.78,66,46,0.691,14,12,0.833,41,32,0.768
"RXC","April 2024",796,774,0.973,779,759,0.974,17,15,0.897,19,12,0.656,0,0,NA,12,7,0.572
"RXF","April 2024",1026,976,0.952,979,956,0.977,47,20,0.428,18,12,0.674,0,0,NA,7,2,0.352
"RXK","April 2024",657,628,0.956,611,589,0.963,46,39,0.857,22,22,0.982,0,0,NA,10,0,0
"RXL","April 2024",782,733,0.936,738,715,0.968,44,18,0.4,34,29,0.838,0,0,NA,4,3,0.825
"RXN","April 2024",872,843,0.966,842,821,0.974,30,22,0.729,34,29,0.847,0,0,NA,28,21,0.736
"RXP","April 2024",871,789,0.906,840,770,0.917,31,19,0.604,21,15,0.7,NA,NA,NA,NA,NA,NA
"RXQ","April 2024",460,431,0.937,420,402,0.956,40,29,0.733,18,13,0.748,0,0,NA,5,3,0.627
"RXR","April 2024",738,709,0.961,684,675,0.986,53,34,0.644,28,22,0.78,NA,NA,NA,8,5,0.571
"RXW","April 2024",841,799,0.949,810,781,0.964,31,18,0.566,25,13,0.521,0,0,NA,6,5,0.764
"RYJ","April 2024",1043,964,0.924,1010,934,0.924,33,30,0.911,97,88,0.908,13,11,0.824,46,36,0.774
"RYR","April 2024",1795,1717,0.957,1710,1651,0.965,85,66,0.781,63,56,0.893,0,0,NA,67,36,0.533
"R0A","May 2024",2283,2097,0.918,1993,1869,0.938,290,227,0.784,125,102,0.817,46,35,0.765,72,58,0.809
"R0B","May 2024",1125,985,0.876,1077,960,0.891,48,25,0.528,22,12,0.527,0,0,NA,6,6,0.87
"R0D","May 2024",1121,1051,0.938,1095,1035,0.945,26,17,0.641,22,16,0.74,0,0,NA,20,12,0.621
"R1F","May 2024",281,275,0.977,271,270,0.996,10,5,0.474,6,5,0.833,0,0,NA,0,0,NA
"R1H","May 2024",1681,1562,0.929,1527,1433,0.938,154,129,0.835,117,106,0.911,5,4,0.765,49,40,0.817
"R1K","May 2024",1073,1027,0.958,1053,1010,0.96,20,17,0.865,56,46,0.825,0,0,NA,5,5,0.91
"RA2","May 2024",487,463,0.951,458,449,0.98,29,14,0.485,19,18,0.935,0,0,NA,4,1,0.234
"RA7","May 2024",1019,957,0.938,882,836,0.947,137,121,0.882,56,52,0.923,18,16,0.882,31,23,0.737
"RA9","May 2024",412,393,0.955,388,376,0.971,24,17,0.691,10,5,0.539,NA,NA,NA,NA,NA,NA
"RAE","May 2024",614,576,0.938,570,543,0.952,44,33,0.75,14,12,0.815,0,0,NA,13,13,1
"RAJ","May 2024",1758,1632,0.928,1683,1589,0.944,75,44,0.581,75,67,0.894,0,0,NA,28,18,0.625
"RAL","May 2024",990,948,0.957,948,918,0.969,42,29,0.694,68,64,0.937,0,0,NA,4,2,0.452
"RAN","May 2024",172,143,0.832,147,123,0.833,24,20,0.829,10,5,0.472,6,2,0.283,0,0,NA
"RAP","May 2024",475,471,0.99,459,456,0.992,16,15,0.925,21,19,0.903,NA,NA,NA,NA,NA,NA
"RAS","May 2024",372,360,0.968,348,342,0.981,24,19,0.785,12,10,0.871,NA,NA,NA,15,11,0.76
"RAX","May 2024",410,374,0.912,386,360,0.932,24,14,0.59,15,11,0.729,NA,NA,NA,20,12,0.598
"RBD","May 2024",318,304,0.955,304,296,0.972,14,8,0.599,8,8,0.911,0,0,NA,0,0,NA
"RBK","May 2024",535,484,0.904,488,450,0.922,48,34,0.721,13,9,0.715,NA,NA,NA,2,1,0.733
"RBL","May 2024",751,706,0.94,732,692,0.945,19,14,0.734,18,12,0.64,NA,NA,NA,7,4,0.571
"RBN","May 2024",1215,1186,0.976,1180,1158,0.981,35,28,0.811,32,21,0.67,0,0,NA,0,0,NA
"RBQ","May 2024",156,127,0.815,156,127,0.815,NA,NA,NA,30,21,0.713,NA,NA,NA,NA,NA,NA
"RBS","May 2024",214,162,0.757,0,0,NA,214,162,0.757,0,0,NA,21,18,0.837,0,0,NA
"RBT","May 2024",504,459,0.912,476,449,0.944,28,10,0.365,11,8,0.71,0,0,NA,15,7,0.437
"RBV","May 2024",180,168,0.929,180,168,0.929,NA,NA,NA,8,6,0.706,NA,NA,NA,NA,NA,NA
"RC9","May 2024",1088,1055,0.97,990,969,0.979,97,86,0.88,26,13,0.51,0,0,NA,24,20,0.865
"RCB","May 2024",862,804,0.933,822,785,0.955,40,19,0.468,31,15,0.482,0,0,NA,2,1,0.645
"RCD","May 2024",316,272,0.859,297,263,0.886,19,8,0.441,11,5,0.481,0,0,NA,0,0,NA
"RCF","May 2024",356,342,0.962,341,331,0.971,15,11,0.76,7,5,0.752,0,0,NA,0,0,NA
"RCU","May 2024",149,102,0.689,0,0,NA,149,102,0.689,0,0,NA,7,6,0.842,2,1,0.258
"RCX","May 2024",545,520,0.954,525,506,0.963,20,14,0.721,13,8,0.64,NA,NA,NA,3,0,0.065
"RD1","May 2024",531,504,0.949,509,487,0.956,21,17,0.785,13,9,0.695,0,0,NA,7,6,0.816
"RD8","May 2024",555,496,0.894,506,471,0.93,49,26,0.524,10,6,0.59,0,0,NA,4,4,0.895
"RDE","May 2024",1239,1185,0.956,1200,1158,0.966,39,26,0.675,32,21,0.662,0,0,NA,11,7,0.699
"RDU","May 2024",1305,1186,0.909,1258,1154,0.917,47,32,0.678,25,24,0.942,0,0,NA,23,18,0.788
"REF","May 2024",676,650,0.962,639,631,0.987,37,19,0.523,15,12,0.826,0,0,NA,7,4,0.581
"REM","May 2024",1622,1519,0.937,1622,1519,0.937,0,0,NA,61,47,0.78,NA,NA,NA,NA,NA,NA
"REN","May 2024",101,95,0.943,101,95,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","May 2024",24,15,0.618,24,15,0.618,NA,NA,NA,2,1,0.371,NA,NA,NA,44,32,0.737
"RET","May 2024",151,124,0.825,151,124,0.825,0,0,NA,20,14,0.698,0,0,NA,0,0,NA
"RF4","May 2024",988,912,0.923,949,876,0.923,39,36,0.919,57,51,0.891,0,0,NA,11,9,0.795
"RFF","May 2024",445,421,0.947,437,415,0.951,8,6,0.702,24,17,0.715,0,0,NA,2,1,0.583
"RFR","May 2024",475,435,0.915,453,423,0.934,22,12,0.537,13,9,0.7,0,0,NA,14,6,0.438
"RFS","May 2024",522,501,0.96,504,488,0.967,18,14,0.757,15,12,0.813,0,0,NA,3,3,0.871
"RGM","May 2024",181,171,0.949,181,171,0.949,NA,NA,NA,33,28,0.844,NA,NA,NA,NA,NA,NA
"RGN","May 2024",973,937,0.963,930,902,0.97,44,35,0.805,22,18,0.84,NA,NA,NA,4,2,0.547
"RGP","May 2024",488,472,0.967,460,451,0.979,28,22,0.776,12,9,0.753,0,0,NA,9,4,0.444
"RGR","May 2024",467,435,0.93,452,424,0.939,15,10,0.677,16,13,0.825,0,0,NA,12,8,0.668
"RGT","May 2024",1058,972,0.919,981,911,0.928,77,62,0.798,64,54,0.841,9,5,0.527,50,34,0.676
"RH5","May 2024",1020,895,0.878,951,860,0.904,68,36,0.519,27,18,0.662,0,0,NA,8,3,0.403
"RH8","May 2024",1126,1017,0.904,1081,990,0.916,45,27,0.613,37,18,0.493,0,0,0,8,6,0.708
"RHM","May 2024",1126,1039,0.924,1031,960,0.931,95,80,0.838,99,76,0.771,15,14,0.971,12,10,0.871
