"ltla24_code","ltla24_name","date","care_at_home_per_1000"
"S12000035","Argyll and Bute","Q4 2021",18.4
"S12000036","City of Edinburgh","Q4 2021",10.8
"S12000005","Clackmannanshire","Q4 2021",16.5
"S12000013","Na h-Eileanan Siar","Q4 2021",11.5
"S12000006","Dumfries and Galloway","Q4 2021",15.1
"S12000042","Dundee City","Q4 2021",12.4
"S12000008","East Ayrshire","Q4 2021",16.1
"S12000045","East Dunbartonshire","Q4 2021",14
"S12000010","East Lothian","Q4 2021",12.2
"S12000011","East Renfrewshire","Q4 2021",13.6
"S12000014","Falkirk","Q4 2021",11.5
"S12000047","Fife","Q4 2021",8.9
"S12000049","Glasgow City","Q4 2021",10.2
"S12000017","Highland","Q4 2021",9.4
"S12000018","Inverclyde","Q4 2021",17.5
"S12000019","Midlothian","Q4 2021",10.7
"S12000020","Moray","Q4 2021",10.8
"S12000021","North Ayrshire","Q4 2021",22
"S12000050","North Lanarkshire","Q4 2021",10.5
"S12000023","Orkney Islands","Q4 2021",7.5
"S12000048","Perth and Kinross","Q4 2021",15.2
"S12000038","Renfrewshire","Q4 2021",11.4
"S12000026","Scottish Borders","Q4 2021",12
"S12000027","Shetland Islands","Q4 2021",20.3
"S12000028","South Ayrshire","Q4 2021",16.7
"S12000029","South Lanarkshire","Q4 2021",12.3
"S12000030","Stirling","Q4 2021",13.9
"S12000039","West Dunbartonshire","Q4 2021",18.7
"S12000040","West Lothian","Q4 2021",11.3
"S12000033","Aberdeen City","Q1 2022",8.7
"S12000034","Aberdeenshire","Q1 2022",12.1
"S12000041","Angus","Q1 2022",13.7
"S12000035","Argyll and Bute","Q1 2022",18.2
"S12000036","City of Edinburgh","Q1 2022",10.7
"S12000005","Clackmannanshire","Q1 2022",16.8
"S12000013","Na h-Eileanan Siar","Q1 2022",11.8
"S12000006","Dumfries and Galloway","Q1 2022",14.9
"S12000042","Dundee City","Q1 2022",12.3
"S12000008","East Ayrshire","Q1 2022",16.6
"S12000045","East Dunbartonshire","Q1 2022",14.3
"S12000010","East Lothian","Q1 2022",11.4
"S12000011","East Renfrewshire","Q1 2022",13.5
"S12000014","Falkirk","Q1 2022",11
"S12000047","Fife","Q1 2022",8.8
"S12000049","Glasgow City","Q1 2022",10.4
"S12000017","Highland","Q1 2022",9.1
"S12000018","Inverclyde","Q1 2022",17.8
"S12000019","Midlothian","Q1 2022",10.2
"S12000020","Moray","Q1 2022",10
"S12000021","North Ayrshire","Q1 2022",22.2
"S12000050","North Lanarkshire","Q1 2022",10.5
"S12000023","Orkney Islands","Q1 2022",7.3
"S12000048","Perth and Kinross","Q1 2022",14.7
"S12000038","Renfrewshire","Q1 2022",11.3
"S12000026","Scottish Borders","Q1 2022",11.5
"S12000027","Shetland Islands","Q1 2022",20.3
"S12000028","South Ayrshire","Q1 2022",16.3
"S12000029","South Lanarkshire","Q1 2022",12.1
"S12000030","Stirling","Q1 2022",13.3
"S12000039","West Dunbartonshire","Q1 2022",18.3
"S12000040","West Lothian","Q1 2022",10.8
"S12000033","Aberdeen City","Q2 2022",9
"S12000034","Aberdeenshire","Q2 2022",12
"S12000041","Angus","Q2 2022",13.9
"S12000035","Argyll and Bute","Q2 2022",18
"S12000036","City of Edinburgh","Q2 2022",10.9
"S12000005","Clackmannanshire","Q2 2022",17.5
"S12000013","Na h-Eileanan Siar","Q2 2022",11.1
"S12000006","Dumfries and Galloway","Q2 2022",15
"S12000042","Dundee City","Q2 2022",11.9
"S12000008","East Ayrshire","Q2 2022",17
"S12000045","East Dunbartonshire","Q2 2022",14.8
"S12000010","East Lothian","Q2 2022",12
"S12000011","East Renfrewshire","Q2 2022",13.6
"S12000014","Falkirk","Q2 2022",15.5
"S12000047","Fife","Q2 2022",8.3
"S12000049","Glasgow City","Q2 2022",10.6
"S12000017","Highland","Q2 2022",9
"S12000018","Inverclyde","Q2 2022",17.2
"S12000019","Midlothian","Q2 2022",10.3
"S12000020","Moray","Q2 2022",9.9
"S12000021","North Ayrshire","Q2 2022",22.5
"S12000050","North Lanarkshire","Q2 2022",10.4
"S12000023","Orkney Islands","Q2 2022",7.3
