"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QUA",2021-05-01,2021,"May",32780,177095,41805
"QUE",2021-05-01,2021,"May",23087,112843,27611
"QUY",2021-05-01,2021,"May",23775,118751,26573
"QVV",2021-05-01,2021,"May",14870,84000,19433
"QWE",2021-05-01,2021,"May",36448,147484,44990
"QWO",2021-05-01,2021,"May",49536,243433,63549
"QWU",2021-05-01,2021,"May",17841,106081,22464
"QXU",2021-05-01,2021,"May",25488,102983,30838
"QYG",2021-05-01,2021,"May",65345,303098,80846
"QE1",2021-06-01,2021,"Jun",38261,188379,47247
"QF7",2021-06-01,2021,"Jun",44100,166942,49223
"QGH",2021-06-01,2021,"Jun",12825,88974,17462
"QH8",2021-06-01,2021,"Jun",29358,127186,33230
"QHG",2021-06-01,2021,"Jun",20416,96623,29907
"QHL",2021-06-01,2021,"Jun",27400,236828,44341
"QHM",2021-06-01,2021,"Jun",89583,353689,113584
"QJ2",2021-06-01,2021,"Jun",22524,124415,28882
"QJG",2021-06-01,2021,"Jun",20859,102581,26196
"QJK",2021-06-01,2021,"Jun",29285,187654,38718
"QJM",2021-06-01,2021,"Jun",9828,58240,12051
"QK1",2021-06-01,2021,"Jun",19043,123494,22503
"QKK",2021-06-01,2021,"Jun",57688,230967,70182
"QKS",2021-06-01,2021,"Jun",36063,182354,40701
"QM7",2021-06-01,2021,"Jun",26435,126340,34958
"QMF",2021-06-01,2021,"Jun",38154,209897,51888
"QMJ",2021-06-01,2021,"Jun",46135,239923,55450
"QMM",2021-06-01,2021,"Jun",20678,129528,31187
"QNC",2021-06-01,2021,"Jun",17568,89688,21626
"QNQ",2021-06-01,2021,"Jun",11442,58824,13685
"QNX",2021-06-01,2021,"Jun",43989,204849,54382
"QOC",2021-06-01,2021,"Jun",11592,64750,13506
