"icb22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"E54000050",146142,32548,36280,6037,0.22,0.17,"April 2025"
"E54000037",44379,13006,13153,2460,0.29,0.19,"April 2025"
"E54000041",28233,7250,9203,1313,0.26,0.14,"April 2025"
"E54000029",91891,21730,16230,4093,0.24,0.25,"April 2025"
"E54000034",34112,9953,6247,1692,0.29,0.27,"April 2025"
"E54000043",22303,5406,5288,873,0.24,0.17,"April 2025"
"E54000057",123384,38372,27790,10462,0.31,0.38,"April 2025"
"E54000042",66867,16813,17913,2914,0.25,0.16,"April 2025"
"E54000048",75689,17116,17920,4953,0.23,0.28,"April 2025"
"E54000019",26748,10707,5099,2379,0.4,0.47,"April 2025"
"E54000025",46652,10446,9941,1438,0.22,0.14,"April 2025"
"E54000051",65323,19500,18489,4664,0.3,0.25,"April 2025"
"E54000058",56642,13096,9568,2617,0.23,0.27,"April 2025"
"E54000032",92299,17432,15648,4630,0.19,0.3,"April 2025"
"E54000015",38115,9372,9434,2114,0.25,0.22,"April 2025"
"E54000013",29024,6587,5725,1967,0.23,0.34,"April 2025"
"E54000026",33512,11079,9043,3171,0.33,0.35,"April 2025"
"E54000022",36956,10288,7270,3082,0.28,0.42,"April 2025"
"E54000028",69707,17446,8918,4002,0.25,0.45,"April 2025"
"E54000027",103870,20674,16527,3403,0.2,0.21,"April 2025"
"E54000059",31205,8186,5386,2756,0.26,0.51,"April 2025"
"E54000060",39851,11850,12369,1416,0.3,0.11,"April 2025"
"E54000030",79855,19544,11375,4495,0.24,0.4,"April 2025"
"E54000011",16292,7032,5152,1689,0.43,0.33,"April 2025"
"E54000038",22152,6356,4833,851,0.29,0.18,"April 2025"
"E54000031",58293,12725,9887,3669,0.22,0.37,"April 2025"
"E54000061",59374,16013,18541,3255,0.27,0.18,"April 2025"
"E54000010",24280,8321,6712,2049,0.34,0.31,"April 2025"
"E54000023",35198,7352,9880,2131,0.21,0.22,"April 2025"
"E54000052",38835,9867,10750,2109,0.25,0.2,"April 2025"
"E54000053",64584,13510,14252,1753,0.21,0.12,"April 2025"
"E54000062",73152,15464,20102,5602,0.21,0.28,"April 2025"
"E54000054",91188,21058,18321,6580,0.23,0.36,"April 2025"
"E54000040",31684,9357,10691,2257,0.3,0.21,"May 2025"
"E54000024",42379,9541,9841,813,0.23,0.08,"May 2025"
"E54000055",56696,16175,18336,4591,0.29,0.25,"May 2025"
"E54000039",37699,9873,11495,2290,0.26,0.2,"May 2025"
"E54000044",60686,13563,18840,1856,0.22,0.1,"May 2025"
"E54000056",37714,11330,8333,2212,0.3,0.27,"May 2025"
"E54000008",128113,33656,30389,9074,0.26,0.3,"May 2025"
"E54000036",20836,4517,3934,1099,0.22,0.28,"May 2025"
"E54000018",37160,10634,6276,1281,0.29,0.2,"May 2025"
"E54000050",147522,30147,36446,5246,0.2,0.14,"May 2025"
"E54000037",48414,13941,13470,2575,0.29,0.19,"May 2025"
"E54000041",29566,7404,9218,1133,0.25,0.12,"May 2025"
"E54000029",95578,22196,16356,3822,0.23,0.23,"May 2025"
"E54000034",36462,9964,6357,2166,0.27,0.34,"May 2025"
"E54000043",23616,5376,5617,846,0.23,0.15,"May 2025"
"E54000057",129761,40144,29078,9754,0.31,0.34,"May 2025"
"E54000042",70366,17703,18156,2550,0.25,0.14,"May 2025"
"E54000048",78743,17700,18936,5081,0.22,0.27,"May 2025"
"E54000019",27868,10081,5274,2240,0.36,0.42,"May 2025"
"E54000025",49332,11345,10165,1732,0.23,0.17,"May 2025"
"E54000051",68234,19575,19866,4482,0.29,0.23,"May 2025"
"E54000058",58525,13039,9820,2946,0.22,0.3,"May 2025"
"E54000032",99013,18275,16083,4747,0.18,0.3,"May 2025"
"E54000015",39787,9401,10213,2044,0.24,0.2,"May 2025"
"E54000013",30666,7419,5866,2017,0.24,0.34,"May 2025"
