"month","type_of_wait","count"
2017-06-01,"No. > 52 weeks",1542
2017-06-01,"Total waiting",3832987
2017-07-01,"No. within 18 weeks",3460415
2017-07-01,"No. > 18 weeks",390659
2017-07-01,"No. > 52 weeks",1642
2017-07-01,"Total waiting",3851074
2017-08-01,"No. within 18 weeks",3474471
2017-08-01,"No. > 18 weeks",411748
2017-08-01,"No. > 52 weeks",1734
2017-08-01,"Total waiting",3886219
2017-09-01,"No. within 18 weeks",3415529
2017-09-01,"No. > 18 weeks",417771
2017-09-01,"No. > 52 weeks",1778
2017-09-01,"Total waiting",3833300
2017-10-01,"No. within 18 weeks",3393766
2017-10-01,"No. > 18 weeks",406281
2017-10-01,"No. > 52 weeks",1519
2017-10-01,"Total waiting",3800047
2017-11-01,"No. within 18 weeks",3330962
2017-11-01,"No. > 18 weeks",391638
2017-11-01,"No. > 52 weeks",1449
2017-11-01,"Total waiting",3722600
2017-12-01,"No. within 18 weeks",3321954
2017-12-01,"No. > 18 weeks",445372
2017-12-01,"No. > 52 weeks",1748
2017-12-01,"Total waiting",3767326
2018-01-01,"No. within 18 weeks",3289620
2018-01-01,"No. > 18 weeks",440853
2018-01-01,"No. > 52 weeks",1869
2018-01-01,"Total waiting",3730473
2018-02-01,"No. within 18 weeks",3309184
2018-02-01,"No. > 18 weeks",454349
2018-02-01,"No. > 52 weeks",2235
2018-02-01,"Total waiting",3763533
2018-03-01,"No. within 18 weeks",3361133
2018-03-01,"No. > 18 weeks",491281
2018-03-01,"No. > 52 weeks",2756
2018-03-01,"Total waiting",3852414
2018-04-01,"No. within 18 weeks",3519434
2018-04-01,"No. > 18 weeks",500073
2018-04-01,"No. > 52 weeks",2880
2018-04-01,"Total waiting",4019507
2018-05-01,"No. within 18 weeks",3604707
2018-05-01,"No. > 18 weeks",485230
2018-05-01,"No. > 52 weeks",3100
2018-05-01,"Total waiting",4089937
2018-06-01,"No. within 18 weeks",3620601
2018-06-01,"No. > 18 weeks",501779
2018-06-01,"No. > 52 weeks",3516
2018-06-01,"Total waiting",4122380
2018-07-01,"No. within 18 weeks",3630924
2018-07-01,"No. > 18 weeks",504337
2018-07-01,"No. > 52 weeks",3464
2018-07-01,"Total waiting",4135261
2018-08-01,"No. within 18 weeks",3632958
2018-08-01,"No. > 18 weeks",530374
2018-08-01,"No. > 52 weeks",3405
2018-08-01,"Total waiting",4163332
2018-09-01,"No. within 18 weeks",3584289
2018-09-01,"No. > 18 weeks",550412
2018-09-01,"No. > 52 weeks",3157
2018-09-01,"Total waiting",4134701
2018-10-01,"No. within 18 weeks",3646101
2018-10-01,"No. > 18 weeks",540241
2018-10-01,"No. > 52 weeks",2815
2018-10-01,"Total waiting",4186342
2018-11-01,"No. within 18 weeks",3626281
2018-11-01,"No. > 18 weeks",527765
2018-11-01,"No. > 52 weeks",2431
2018-11-01,"Total waiting",4154046
2018-12-01,"No. within 18 weeks",3595561
2018-12-01,"No. > 18 weeks",556028
2018-12-01,"No. > 52 weeks",2237
2018-12-01,"Total waiting",4151589
2019-01-01,"No. within 18 weeks",3619513
2019-01-01,"No. > 18 weeks",553149
2019-01-01,"No. > 52 weeks",2169
2019-01-01,"Total waiting",4172662
2019-02-01,"No. within 18 weeks",3604256
2019-02-01,"No. > 18 weeks",539854
2019-02-01,"No. > 52 weeks",1962
2019-02-01,"Total waiting",4144110
2019-03-01,"No. within 18 weeks",3670437
2019-03-01,"No. > 18 weeks",562977
2019-03-01,"No. > 52 weeks",1154
2019-03-01,"Total waiting",4233414
2019-04-01,"No. within 18 weeks",3718168
2019-04-01,"No. > 18 weeks",579403
2019-04-01,"No. > 52 weeks",1047
2019-04-01,"Total waiting",4297571
2019-05-01,"No. within 18 weeks",3809456
2019-05-01,"No. > 18 weeks",576237
2019-05-01,"No. > 52 weeks",1032
2019-05-01,"Total waiting",4385693
2019-06-01,"No. within 18 weeks",3794158
2019-06-01,"No. > 18 weeks",601088
2019-06-01,"No. > 52 weeks",1089
2019-06-01,"Total waiting",4395246
2019-07-01,"No. within 18 weeks",3752114
2019-07-01,"No. > 18 weeks",620454
2019-07-01,"No. > 52 weeks",1032
2019-07-01,"Total waiting",4372568
2019-08-01,"No. within 18 weeks",3745921
2019-08-01,"No. > 18 weeks",662043
2019-08-01,"No. > 52 weeks",1236
2019-08-01,"Total waiting",4407964
2019-09-01,"No. within 18 weeks",3744771
2019-09-01,"No. > 18 weeks",672112
2019-09-01,"No. > 52 weeks",1305
2019-09-01,"Total waiting",4416883
2019-10-01,"No. within 18 weeks",3763231
2019-10-01,"No. > 18 weeks",681625
2019-10-01,"No. > 52 weeks",1321
2019-10-01,"Total waiting",4444856
2019-11-01,"No. within 18 weeks",3723382
2019-11-01,"No. > 18 weeks",690096
2019-11-01,"No. > 52 weeks",1398
2019-11-01,"Total waiting",4413478
2019-12-01,"No. within 18 weeks",3693390
2019-12-01,"No. > 18 weeks",721521
2019-12-01,"No. > 52 weeks",1467
2019-12-01,"Total waiting",4414911
2020-01-01,"No. within 18 weeks",3685428
2020-01-01,"No. > 18 weeks",730266
2020-01-01,"No. > 52 weeks",1643
2020-01-01,"Total waiting",4415694
2020-02-01,"No. within 18 weeks",3678351
2020-02-01,"No. > 18 weeks",744997
2020-02-01,"No. > 52 weeks",1613
2020-02-01,"Total waiting",4423348
2020-03-01,"No. within 18 weeks",3375661
2020-03-01,"No. > 18 weeks",860309
2020-03-01,"No. > 52 weeks",3097
2020-03-01,"Total waiting",4235970
2020-04-01,"No. within 18 weeks",2812999
2020-04-01,"No. > 18 weeks",1134062
2020-04-01,"No. > 52 weeks",11179
2020-04-01,"Total waiting",3947061
2020-05-01,"No. within 18 weeks",2392303
2020-05-01,"No. > 18 weeks",1453700
2020-05-01,"No. > 52 weeks",26717
2020-05-01,"Total waiting",3846003
2020-06-01,"No. within 18 weeks",2005831
2020-06-01,"No. > 18 weeks",1854246
2020-06-01,"No. > 52 weeks",50539
2020-06-01,"Total waiting",3860077
2020-07-01,"No. within 18 weeks",1895264
2020-07-01,"No. > 18 weeks",2151443
2020-07-01,"No. > 52 weeks",83203
2020-07-01,"Total waiting",4046707
2020-08-01,"No. within 18 weeks",2260431
2020-08-01,"No. > 18 weeks",1959684
2020-08-01,"No. > 52 weeks",111026
2020-08-01,"Total waiting",4220115
2020-09-01,"No. within 18 weeks",2638278
2020-09-01,"No. > 18 weeks",1716606
2020-09-01,"No. > 52 weeks",139545
2020-09-01,"Total waiting",4354884
2020-10-01,"No. within 18 weeks",2911270
2020-10-01,"No. > 18 weeks",1537587
2020-10-01,"No. > 52 weeks",167067
2020-10-01,"Total waiting",4448857
2020-11-01,"No. within 18 weeks",3040809
2020-11-01,"No. > 18 weeks",1419903
2020-11-01,"No. > 52 weeks",192169
2020-11-01,"Total waiting",4460712
2020-12-01,"No. within 18 weeks",3067658
2020-12-01,"No. > 18 weeks",1453675
2020-12-01,"No. > 52 weeks",224205
2020-12-01,"Total waiting",4521333
2021-01-01,"No. within 18 weeks",3038370
2021-01-01,"No. > 18 weeks",1554305
2021-01-01,"No. > 52 weeks",304044
2021-01-01,"Total waiting",4592675
2021-02-01,"No. within 18 weeks",3030448
2021-02-01,"No. > 18 weeks",1667900
2021-02-01,"No. > 52 weeks",387885
2021-02-01,"Total waiting",4698348
2021-03-01,"No. within 18 weeks",3186952
2021-03-01,"No. > 18 weeks",1763345
2021-03-01,"No. > 52 weeks",436127
2021-03-01,"Total waiting",4950297
2021-04-01,"No. within 18 weeks",3311746
2021-04-01,"No. > 18 weeks",1811971
2021-04-01,"No. > 52 weeks",385379
2021-04-01,"Total waiting",5123717
2021-05-01,"No. within 18 weeks",3576159
2021-05-01,"No. > 18 weeks",1729266
2021-05-01,"No. > 52 weeks",336779
2021-05-01,"Total waiting",5305425
2021-06-01,"No. within 18 weeks",3749231
2021-06-01,"No. > 18 weeks",1704255
2021-06-01,"No. > 52 weeks",304823
2021-06-01,"Total waiting",5453486
2021-07-01,"No. within 18 weeks",3828136
2021-07-01,"No. > 18 weeks",1779438
2021-07-01,"No. > 52 weeks",293102
2021-07-01,"Total waiting",5607574
2021-08-01,"No. within 18 weeks",3865241
2021-08-01,"No. > 18 weeks",1850457
2021-08-01,"No. > 52 weeks",292138
2021-08-01,"Total waiting",5715698
2021-09-01,"No. within 18 weeks",3879621
2021-09-01,"No. > 18 weeks",1955374
2021-09-01,"No. > 52 weeks",301274
2021-09-01,"Total waiting",5834995
2021-10-01,"No. within 18 weeks",3923337
