"nhs_trust22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"RF4",25632,9655,4913,525,0.38,0.11,"August 2021"
"R1H",40437,8087,6945,2856,0.2,0.41,"August 2021"
"RYX",3372,0,0,0,0,NA,"August 2021"
"RQM",26138,NA,2749,503,NA,0.18,"August 2021"
"RJ6",17897,3171,1876,773,0.18,0.41,"August 2021"
"RVR",13879,2032,2246,717,0.15,0.32,"August 2021"
"RJ1",16026,2928,4364,125,0.18,0.03,"August 2021"
"RQX",9516,991,1666,86,0.1,0.05,"August 2021"
"RY9",4012,1,0,0,0,NA,"August 2021"
"RYJ",22292,NA,3840,1102,NA,0.29,"August 2021"
"RJZ",23525,7411,4594,1423,0.32,0.31,"August 2021"
"RAX",9709,2239,3144,387,0.23,0.12,"August 2021"
"RJ2",23291,4413,4970,642,0.19,0.13,"August 2021"
"R1K",27998,4250,7233,777,0.15,0.11,"August 2021"
"RP6",5038,4,169,0,0,0,"August 2021"
"RAT",2115,13,0,0,0.01,NA,"August 2021"
"RAP",15091,3590,2112,1111,0.24,0.53,"August 2021"
"RAL",24768,5454,4261,837,0.22,0.2,"August 2021"
"RAN",0,0,39,0,NA,0,"August 2021"
"RJ7",12464,2307,3455,439,0.19,0.13,"August 2021"
"RAS",11626,3109,2035,576,0.27,0.28,"August 2021"
"RRV",11327,1555,1834,569,0.14,0.31,"August 2021"
"RKE",8532,1715,1226,346,0.2,0.28,"August 2021"
"RQ3",4500,673,1056,0,0.15,0,"August 2021"
"RFS",8259,1171,2816,209,0.14,0.07,"August 2021"
"RYG",0,0,83,0,NA,0,"August 2021"
"RY8",7607,1,0,0,0,NA,"August 2021"
"RLT",7733,1044,1668,310,0.14,0.19,"August 2021"
"RNQ",8413,NA,2509,947,NA,0.38,"August 2021"
"RY5",7195,277,0,0,0.04,NA,"August 2021"
"RNS",11344,3228,3469,666,0.28,0.19,"August 2021"
"RX1",17576,NA,7559,1015,NA,0.13,"August 2021"
"RXK",21505,5426,3548,1009,0.25,0.28,"August 2021"
"RK5",14189,1924,3739,289,0.14,0.08,"August 2021"
"R1D",2762,3,4,0,0,0,"August 2021"
"RJC",6933,1632,2522,55,0.24,0.02,"August 2021"
"RNA",15005,3087,3010,1293,0.21,0.43,"August 2021"
"RL1",0,0,8,0,NA,0,"August 2021"
"RL4",19549,3522,6254,864,0.18,0.14,"August 2021"
"RXW",12638,4969,4717,1455,0.39,0.31,"August 2021"
"RWD",17326,5725,4501,1980,0.33,0.44,"August 2021"
"RRK",32733,15128,13787,4792,0.46,0.35,"August 2021"
"RKB",18412,4673,5345,867,0.25,0.16,"August 2021"
"RTG",28773,8446,6481,915,0.29,0.14,"August 2021"
"RWE",22051,9532,7714,2095,0.43,0.27,"August 2021"
"RJE",22317,7098,7349,1627,0.32,0.22,"August 2021"
"RBK",10992,2268,3524,698,0.21,0.2,"August 2021"
"RWP",17322,5003,4556,1238,0.29,0.27,"August 2021"
"RLQ",5629,2211,1747,248,0.39,0.14,"August 2021"
"RCF",6205,1706,1990,0,0.27,0,"August 2021"
"RFF",8397,2958,2926,267,0.35,0.09,"August 2021"
"RAE",11925,2417,3609,598,0.2,0.17,"August 2021"
"RWY",14744,3012,3765,666,0.2,0.18,"August 2021"
"RXP",19384,5126,6029,1784,0.26,0.3,"August 2021"
"RP5",16478,4539,4003,1097,0.28,0.27,"August 2021"
