"nhs_trust22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"RBS",5412,1482,1179,0,0.27,0,"April 2022"
"RXL",18098,3937,3194,1553,0.22,0.49,"April 2022"
"RMC",10936,4548,2671,964,0.42,0.36,"April 2022"
"RY2",4417,277,0,0,0.06,NA,"April 2022"
"RJR",7066,3012,2195,562,0.43,0.26,"April 2022"
"RJN",4121,1820,911,531,0.44,0.58,"April 2022"
"RXR",16617,4947,5159,1484,0.3,0.29,"April 2022"
"RXN",14753,3317,3761,1481,0.22,0.39,"April 2022"
"RBQ",0,0,146,0,NA,0,"April 2022"
"REM",24890,8271,6179,1643,0.33,0.27,"April 2022"
"REP",1096,99,105,0,0.09,0,"April 2022"
"R0A",40082,14519,9783,3589,0.36,0.37,"April 2022"
"RW4",12110,425,117,0,0.04,0,"April 2022"
"RBT",9117,4031,3165,926,0.44,0.29,"April 2022"
"RM3",29099,11566,7622,2719,0.4,0.36,"April 2022"
"RVY",12059,2346,1969,865,0.19,0.44,"April 2022"
"RBN",14494,4842,4662,318,0.33,0.07,"April 2022"
"RWJ",9330,3728,3409,1253,0.4,0.37,"April 2022"
"RMP",10230,3485,2352,931,0.34,0.4,"April 2022"
"RBV",0,0,511,0,NA,0,"April 2022"
"RET",0,0,165,0,NA,0,"April 2022"
"RTX",10837,2938,3089,830,0.27,0.27,"April 2022"
"RWW",10045,3041,2014,1235,0.3,0.61,"April 2022"
"RY7",3943,34,0,0,0.01,NA,"April 2022"
"RBL",10457,3855,3475,886,0.37,0.25,"April 2022"
"RRF",12931,3443,2771,1011,0.27,0.36,"April 2022"
"RTK",10098,3442,2220,533,0.34,0.24,"April 2022"
"RWX",1356,27,30,0,0.02,0,"April 2022"
"RXQ",12273,3957,4958,597,0.32,0.12,"April 2022"
"RN7",13677,3510,2951,660,0.26,0.22,"April 2022"
"RVV",21945,6620,6229,1762,0.3,0.28,"April 2022"
"RXC",12382,3628,3769,317,0.29,0.08,"April 2022"
"RDU",19931,NA,5330,1718,NA,0.32,"April 2022"
"RN5",11300,4199,4174,963,0.37,0.23,"April 2022"
"R1F",5355,1231,1267,516,0.23,0.41,"April 2022"
"RYY",6120,31,0,0,0.01,NA,"April 2022"
"RWF",17931,3663,5329,1152,0.2,0.22,"April 2022"
"RPA",15203,4152,3315,901,0.27,0.27,"April 2022"
"RNU",2820,253,0,0,0.09,NA,"April 2022"
"RTH",13709,4593,7281,784,0.34,0.11,"April 2022"
"RHU",11673,NA,5513,1506,NA,0.27,"April 2022"
"RPC",1129,6,526,0,0.01,0,"April 2022"
"RHW",13577,3579,3377,423,0.26,0.13,"April 2022"
"RA2",6420,2571,2973,47,0.4,0.02,"April 2022"
"RW1",1705,17,156,0,0.01,0,"April 2022"
"RTP",10585,2942,2680,1409,0.28,0.53,"April 2022"
"RDR",10127,42,0,0,0,NA,"April 2022"
"RHM",12011,3553,4488,296,0.3,0.07,"April 2022"
"RYR",27936,12188,7336,2507,0.44,0.34,"April 2022"
"RJ8",0,0,71,0,NA,0,"April 2022"
"RBD",6361,1907,13686,52,0.3,0,"April 2022"
"RDY",0,0,1,0,NA,0,"April 2022"
"RTQ",4114,25,10,0,0.01,0,"April 2022"
"RTE",11583,5268,3397,1069,0.45,0.31,"April 2022"
"RN3",9415,2252,3209,506,0.24,0.16,"April 2022"
"RVJ",7942,3531,4324,1043,0.44,0.24,"April 2022"
"REF",14983,3462,2836,1097,0.23,0.39,"April 2022"
"RH8",14908,4923,5194,1077,0.33,0.21,"April 2022"
"RD1",7259,3073,3485,1066,0.42,0.31,"April 2022"
"RNZ",6351,1795,1760,498,0.28,0.28,"April 2022"
"RH5",14859,3175,2652,651,0.21,0.25,"April 2022"
"RYF",1936,52,0,0,0.03,NA,"April 2022"
"RA9",8016,3367,2675,725,0.42,0.27,"April 2022"
"RA7",15235,5864,4226,1677,0.38,0.4,"April 2022"
"R0D",12817,NA,5491,1147,NA,0.21,"April 2022"
"RK9",11464,NA,3048,663,NA,0.22,"April 2022"
"RA4",5012,1103,1737,88,0.22,0.05,"April 2022"
"RC9",23099,NA,6078,102,NA,0.02,"May 2022"
"RGT",16580,NA,3295,996,NA,0.3,"May 2022"
"RWH",16407,5519,2914,346,0.34,0.12,"May 2022"
"RDE",25167,5517,6001,710,0.22,0.12,"May 2022"
"RY4",1119,30,0,0,0.03,NA,"May 2022"
"RGP",8089,2442,2028,682,0.3,0.34,"May 2022"
"RAJ",34324,10782,10372,2346,0.31,0.23,"May 2022"
"RD8",14737,2717,2250,538,0.18,0.24,"May 2022"
"RM1",20293,6412,3885,1468,0.32,0.38,"May 2022"
"RGN",18557,8410,4787,1124,0.45,0.23,"May 2022"
"RQW",11458,4388,2416,700,0.38,0.29,"May 2022"
"RCX",7540,2851,2948,2556,0.38,0.87,"May 2022"
"RWG",15630,6527,3778,1384,0.42,0.37,"May 2022"
"RGR",7614,NA,2360,561,NA,0.24,"May 2022"
"RF4",27372,11361,5302,1757,0.42,0.33,"May 2022"
"R1H",46017,14002,6575,3707,0.3,0.56,"May 2022"
"RYX",8178,29,0,0,0,NA,"May 2022"
"RQM",30586,NA,2928,825,NA,0.28,"May 2022"
"RJ6",17576,4068,1427,765,0.23,0.54,"May 2022"
"RVR",14914,3456,2038,919,0.23,0.45,"May 2022"
"RJ1",19081,4010,4464,90,0.21,0.02,"May 2022"
"RQX",11167,2070,1762,200,0.19,0.11,"May 2022"
"RY9",4325,3,0,0,0,NA,"May 2022"
"RYJ",23704,NA,3911,1479,NA,0.38,"May 2022"
"RJZ",26726,10272,4431,2215,0.38,0.5,"May 2022"
"RAX",11239,3012,3079,626,0.27,0.2,"May 2022"
"RJ2",27237,7407,4899,1885,0.27,0.38,"May 2022"
"R1K",30229,7912,8175,977,0.26,0.12,"May 2022"
"RP6",5886,9,211,0,0,0,"May 2022"
"RAT",2742,53,0,0,0.02,NA,"May 2022"
"RAP",18831,6061,2148,1101,0.32,0.51,"May 2022"
"RAL",27499,8976,4038,1787,0.33,0.44,"May 2022"
"RAN",0,0,33,0,NA,0,"May 2022"
"RJ7",13489,3514,3232,891,0.26,0.28,"May 2022"
"RAS",13728,3900,2044,667,0.28,0.33,"May 2022"
"RRV",13377,4291,1911,325,0.32,0.17,"May 2022"
"RKE",9742,2407,1125,456,0.25,0.41,"May 2022"
"RQ3",5848,639,1260,0,0.11,0,"May 2022"
"RFS",8752,1788,3245,465,0.2,0.14,"May 2022"
"RYG",0,0,99,0,NA,0,"May 2022"
"RY8",8037,2,0,0,0,NA,"May 2022"
"RLT",8412,1823,1586,545,0.22,0.34,"May 2022"
"RNQ",9533,NA,2124,1030,NA,0.48,"May 2022"
"RY5",7139,358,0,0,0.05,NA,"May 2022"
"RNS",12282,4128,3435,778,0.34,0.23,"May 2022"
"RX1",18723,NA,7516,1471,NA,0.2,"May 2022"
"RXK",28153,7329,3673,1563,0.26,0.43,"May 2022"
"RK5",15664,3100,3676,643,0.2,0.17,"May 2022"
"R1D",3039,1,5,0,0,0,"May 2022"
"RJC",7691,2412,2634,361,0.31,0.14,"May 2022"
"RNA",16644,3812,4654,557,0.23,0.12,"May 2022"
"RL1",0,0,13,0,NA,0,"May 2022"
"RL4",20911,4156,6515,824,0.2,0.13,"May 2022"
"RXW",13604,5647,4814,2213,0.42,0.46,"May 2022"
"RWD",18183,6614,4760,2103,0.36,0.44,"May 2022"
"RRK",34275,15546,14394,4669,0.45,0.32,"May 2022"
"RKB",21197,6314,5510,1008,0.3,0.18,"May 2022"
"RTG",30143,10760,6086,1170,0.36,0.19,"May 2022"
"RWE",22742,9999,7797,2519,0.44,0.32,"May 2022"
"RJE",23054,8636,7439,1792,0.37,0.24,"May 2022"
"RBK",12564,3409,3692,583,0.27,0.16,"May 2022"
"RWP",18950,6134,4604,1319,0.32,0.29,"May 2022"
"RLQ",6023,2212,1817,480,0.37,0.26,"May 2022"
"RCF",6687,2414,2109,90,0.36,0.04,"May 2022"
"RFF",8820,2723,2927,291,0.31,0.1,"May 2022"
"RAE",12481,3140,4381,886,0.25,0.2,"May 2022"
"RWY",15221,3676,3903,673,0.24,0.17,"May 2022"
"RXP",21931,5671,6575,1749,0.26,0.27,"May 2022"
"RP5",17663,5304,4133,1355,0.3,0.33,"May 2022"
"RR7",9716,2148,2442,762,0.22,0.31,"May 2022"
"RCD",5630,1810,1536,268,0.32,0.17,"May 2022"
"RWA",11014,5625,4939,1406,0.51,0.28,"May 2022"
"RV9",895,2,0,0,0,NA,"May 2022"
"RR8",30096,9703,4755,2063,0.32,0.43,"May 2022"
"RXF",23709,NA,4832,1155,NA,0.24,"May 2022"
"RNN",10972,3040,2875,895,0.28,0.31,"May 2022"
"RVW",15420,NA,4375,372,NA,0.09,"May 2022"
"RJL",13338,4602,4683,1313,0.35,0.28,"May 2022"
"RTF",20440,1672,6245,0,0.08,0,"May 2022"
"RCU",5895,409,1122,0,0.07,0,"May 2022"
"RHQ",19484,4978,5813,1250,0.26,0.22,"May 2022"
"RTR",16463,5166,3808,1267,0.31,0.33,"May 2022"
"R0B",20952,5202,5780,536,0.25,0.09,"May 2022"
"RXG",0,0,130,0,NA,0,"May 2022"
"RTD",22200,3887,5973,271,0.18,0.05,"May 2022"
"RFR",8182,NA,3086,565,NA,0.18,"May 2022"
"RCB",19307,5446,5293,1658,0.28,0.31,"May 2022"
"RBS",6033,1586,1296,0,0.26,0,"May 2022"
"RXL",20430,4112,3413,1483,0.2,0.43,"May 2022"
"RMC",12183,4694,2909,886,0.39,0.3,"May 2022"
"RY2",4093,203,0,0,0.05,NA,"May 2022"
"RJR",7723,3161,2307,1202,0.41,0.52,"May 2022"
"RJN",4485,2026,1093,474,0.45,0.43,"May 2022"
"RXR",18242,5125,5590,1274,0.28,0.23,"May 2022"
"RXN",15900,3485,4102,1529,0.22,0.37,"May 2022"
"RBQ",0,0,159,0,NA,0,"May 2022"
"REM",26688,9080,6895,1956,0.34,0.28,"May 2022"
"REP",1210,86,106,0,0.07,0,"May 2022"
"R0A",44087,15621,10076,3117,0.35,0.31,"May 2022"
"RW4",12640,576,153,0,0.05,0,"May 2022"
"RBT",9706,3896,3292,957,0.4,0.29,"May 2022"
"RM3",31530,11953,7786,2081,0.38,0.27,"May 2022"
"RVY",11169,2564,2280,848,0.23,0.37,"May 2022"
"RBN",16002,5476,5304,377,0.34,0.07,"May 2022"
"RWJ",10050,3497,3629,1178,0.35,0.32,"May 2022"
"RMP",10785,3617,2408,849,0.34,0.35,"May 2022"
"RBV",0,0,545,0,NA,0,"May 2022"
"RET",0,0,158,0,NA,0,"May 2022"
"RTX",12276,3346,3591,723,0.27,0.2,"May 2022"
"RWW",10685,3152,2134,1284,0.29,0.6,"May 2022"
"RY7",4458,76,0,0,0.02,NA,"May 2022"
"RBL",11308,4143,3872,702,0.37,0.18,"May 2022"
"RRF",14114,3593,2793,1061,0.25,0.38,"May 2022"
"RTK",11136,3874,3185,196,0.35,0.06,"May 2022"
"RWX",1681,21,36,0,0.01,0,"May 2022"
"RXQ",13441,3496,5692,513,0.26,0.09,"May 2022"
"RN7",14991,3301,3312,474,0.22,0.14,"May 2022"
"RVV",24295,7437,6557,1805,0.31,0.28,"May 2022"
"RXC",13539,3806,4153,166,0.28,0.04,"May 2022"
"RDU",21917,NA,5943,1527,NA,0.26,"May 2022"
"RN5",12337,4080,4456,707,0.33,0.16,"May 2022"
"R1F",5936,1042,1343,394,0.18,0.29,"May 2022"
"RYY",7336,35,0,0,0,NA,"May 2022"
"RWF",20220,3236,6211,826,0.16,0.13,"May 2022"
"RPA",17218,4821,3569,922,0.28,0.26,"May 2022"
"RNU",3361,355,0,0,0.11,NA,"May 2022"
"RTH",15357,5008,7402,685,0.33,0.09,"May 2022"
"RHU",13594,NA,5663,1619,NA,0.29,"May 2022"
"RPC",1330,2,608,0,0,0,"May 2022"
"RHW",14850,3509,3717,225,0.24,0.06,"May 2022"
"RA2",6516,2837,3055,393,0.44,0.13,"May 2022"
"RW1",1974,49,166,0,0.02,0,"May 2022"
"RTP",11630,3472,2939,1525,0.3,0.52,"May 2022"
"RDR",11379,195,0,0,0.02,NA,"May 2022"
"RHM",13351,4341,4715,281,0.33,0.06,"May 2022"
"RYR",30685,12562,8205,2299,0.41,0.28,"May 2022"
"RJ8",0,0,66,0,NA,0,"May 2022"
"RBD",6589,1973,1693,21,0.3,0.01,"May 2022"
"RDY",0,0,1,0,NA,0,"May 2022"
"RTQ",4810,17,11,0,0,0,"May 2022"
"RTE",12586,5613,4001,1069,0.45,0.27,"May 2022"
"RN3",10684,2790,3482,494,0.26,0.14,"May 2022"
"RVJ",8700,2374,5001,440,0.27,0.09,"May 2022"
"REF",16578,3373,2891,1068,0.2,0.37,"May 2022"
"RH8",16313,5438,5618,924,0.33,0.16,"May 2022"
"RD1",7926,3044,3874,499,0.38,0.13,"May 2022"
"RNZ",6575,1624,1931,446,0.25,0.23,"May 2022"
"RH5",16272,3680,3028,449,0.23,0.15,"May 2022"
"RYF",1802,58,0,0,0.03,NA,"May 2022"
"RA9",8795,3730,3022,720,0.42,0.24,"May 2022"
"RA7",16778,6427,4635,1771,0.38,0.38,"May 2022"
"R0D",13896,NA,6422,1008,NA,0.16,"May 2022"
"RK9",12419,NA,3213,693,NA,0.22,"May 2022"
"RA4",5511,853,2089,75,0.15,0.04,"May 2022"
"RC9",23353,NA,5988,86,NA,0.01,"June 2022"
"RGT",16339,NA,3350,991,NA,0.3,"June 2022"
"RWH",15459,5378,2753,323,0.35,0.12,"June 2022"
"RDE",25119,6272,5860,738,0.25,0.13,"June 2022"
"RY4",1086,51,0,0,0.05,NA,"June 2022"
"RGP",7714,2313,2042,774,0.3,0.38,"June 2022"
"RAJ",32903,10486,9879,2224,0.32,0.23,"June 2022"
"RD8",14385,2411,2118,408,0.17,0.19,"June 2022"
"RM1",19668,6310,3735,1402,0.32,0.38,"June 2022"
"RGN",17651,8173,4555,1128,0.46,0.25,"June 2022"
"RQW",10923,4196,2308,549,0.38,0.24,"June 2022"
"RCX",7464,3035,2651,1282,0.41,0.48,"June 2022"
"RWG",15632,6171,3773,1179,0.39,0.31,"June 2022"
"RGR",7614,NA,2346,685,NA,0.29,"June 2022"
"RF4",27069,11471,5168,1712,0.42,0.33,"June 2022"
"R1H",45785,14033,6177,3542,0.31,0.57,"June 2022"
"RYX",8354,105,0,0,0.01,NA,"June 2022"
"RQM",30290,NA,2851,723,NA,0.25,"June 2022"
"RJ6",17334,4351,1405,684,0.25,0.49,"June 2022"
"RVR",14265,3729,2055,897,0.26,0.44,"June 2022"
"RJ1",18656,3891,4217,84,0.21,0.02,"June 2022"
"RQX",10999,1766,1758,126,0.16,0.07,"June 2022"
"RY9",4377,4,0,0,0,NA,"June 2022"
"RYJ",23059,NA,3843,1352,NA,0.35,"June 2022"
"RJZ",26081,9372,4253,2014,0.36,0.47,"June 2022"
"RAX",11278,2804,2931,722,0.25,0.25,"June 2022"
"RJ2",26716,7821,4892,2867,0.29,0.59,"June 2022"
"R1K",30053,7966,8120,1093,0.27,0.13,"June 2022"
"RP6",5934,10,228,0,0,0,"June 2022"
"RAT",2334,58,0,0,0.02,NA,"June 2022"
"RAP",18672,6389,2049,1135,0.34,0.55,"June 2022"
"RAL",26610,9443,3718,1735,0.35,0.47,"June 2022"
"RAN",0,0,19,0,NA,0,"June 2022"
"RJ7",13060,3920,3278,822,0.3,0.25,"June 2022"
"RAS",13232,3755,2046,730,0.28,0.36,"June 2022"
"RRV",12954,4582,1841,323,0.35,0.18,"June 2022"
"RKE",9387,2516,1076,472,0.27,0.44,"June 2022"
"RQ3",5869,876,1189,0,0.15,0,"June 2022"
"RFS",8596,1993,3086,561,0.23,0.18,"June 2022"
"RYG",0,0,81,0,NA,0,"June 2022"
"RY8",8690,0,0,0,0,NA,"June 2022"
"RLT",8175,1840,1690,535,0.23,0.32,"June 2022"
"RNQ",9292,NA,2094,980,NA,0.47,"June 2022"
"RY5",7341,299,0,0,0.04,NA,"June 2022"
"RNS",11839,3845,3296,926,0.32,0.28,"June 2022"
"RX1",17892,NA,7187,1360,NA,0.19,"June 2022"
"RXK",28024,7620,3708,1626,0.27,0.44,"June 2022"
"RK5",15363,3444,3557,865,0.22,0.24,"June 2022"
"R1D",3044,6,6,0,0,0,"June 2022"
"RJC",7311,2561,2663,361,0.35,0.14,"June 2022"
"RNA",16120,3759,4380,464,0.23,0.11,"June 2022"
"RL1",0,0,13,0,NA,0,"June 2022"
"RL4",21016,4303,6382,713,0.2,0.11,"June 2022"
"RXW",13280,6063,4684,1676,0.46,0.36,"June 2022"
"RWD",17626,6681,4616,1935,0.38,0.42,"June 2022"
"RRK",33243,15572,13646,9496,0.47,0.7,"June 2022"
"RKB",20637,6242,5241,1120,0.3,0.21,"June 2022"
"RTG",29775,11385,6200,1253,0.38,0.2,"June 2022"
"RWE",21945,9586,7708,2365,0.44,0.31,"June 2022"
"RJE",22553,8484,7546,1666,0.38,0.22,"June 2022"
"RBK",12646,3416,3609,831,0.27,0.23,"June 2022"
"RWP",17793,6118,4463,1462,0.34,0.33,"June 2022"
"RLQ",6102,2515,1785,456,0.41,0.26,"June 2022"
"RCF",6571,2444,2012,192,0.37,0.1,"June 2022"
"RFF",8610,3432,2815,335,0.4,0.12,"June 2022"
"RAE",12211,3076,4254,922,0.25,0.22,"June 2022"
"RWY",15102,4082,3761,782,0.27,0.21,"June 2022"
"RXP",21978,6421,6158,1950,0.29,0.32,"June 2022"
"RP5",17119,5131,4068,1603,0.3,0.39,"June 2022"
"RR7",9659,2212,2417,929,0.23,0.38,"June 2022"
"RCD",5653,1602,1547,226,0.28,0.15,"June 2022"
"RWA",10460,5365,4754,1353,0.51,0.28,"June 2022"
"RV9",968,9,0,0,0.01,NA,"June 2022"
"RR8",28809,9707,4557,1882,0.34,0.41,"June 2022"
"RXF",23667,NA,4785,1315,NA,0.27,"June 2022"
"RNN",10860,2878,2886,783,0.27,0.27,"June 2022"
"RVW",16161,NA,4320,380,NA,0.09,"June 2022"
"RJL",12899,4734,4419,1582,0.37,0.36,"June 2022"
"RTF",20081,1520,5917,0,0.08,0,"June 2022"
"RCU",5729,414,1032,1,0.07,0,"June 2022"
"RHQ",18776,4916,5592,1207,0.26,0.22,"June 2022"
"RTR",15914,5317,4001,1285,0.33,0.32,"June 2022"
"R0B",20446,5316,5637,680,0.26,0.12,"June 2022"
"RXG",0,0,126,0,NA,0,"June 2022"
"RTD",20891,3932,5703,332,0.19,0.06,"June 2022"
"RFR",7915,NA,2990,541,NA,0.18,"June 2022"
"RCB",19178,5244,5186,1550,0.27,0.3,"June 2022"
"RBS",5698,1269,1255,0,0.22,0,"June 2022"
"RXL",20092,3972,3475,1441,0.2,0.41,"June 2022"
"RMC",11677,4432,2624,958,0.38,0.37,"June 2022"
"RY2",3912,133,0,0,0.03,NA,"June 2022"
"RJR",7197,2908,2383,660,0.4,0.28,"June 2022"
"RJN",4358,1871,1095,300,0.43,0.27,"June 2022"
"RXR",18131,4821,5555,1050,0.27,0.19,"June 2022"
"RXN",15597,3534,4177,1371,0.23,0.33,"June 2022"
"RBQ",0,0,141,0,NA,0,"June 2022"
"REM",26023,8600,6569,2348,0.33,0.36,"June 2022"
"REP",1175,92,111,0,0.08,0,"June 2022"
"R0A",42414,16077,9947,3341,0.38,0.34,"June 2022"
"RW4",12138,899,98,0,0.07,0,"June 2022"
"RBT",9622,3852,3062,1060,0.4,0.35,"June 2022"
"RM3",30639,12070,7785,2635,0.39,0.34,"June 2022"
"RVY",10774,2403,2045,789,0.22,0.39,"June 2022"
"RBN",15325,5355,4945,284,0.35,0.06,"June 2022"
"RWJ",9717,3581,3427,1180,0.37,0.34,"June 2022"
"RMP",10631,3814,2322,819,0.36,0.35,"June 2022"
"RBV",0,0,544,0,NA,0,"June 2022"
"RET",0,0,148,0,NA,0,"June 2022"
"RTX",11873,2989,3292,792,0.25,0.24,"June 2022"
"RWW",10384,3164,2068,1414,0.3,0.68,"June 2022"
"RY7",4419,117,0,0,0.03,NA,"June 2022"
"RBL",10954,3887,3743,749,0.35,0.2,"June 2022"
"RRF",14014,4047,3168,1104,0.29,0.35,"June 2022"
"RTK",10781,4524,3511,204,0.42,0.06,"June 2022"
"RWX",1642,15,34,0,0.01,0,"June 2022"
"RXQ",13792,3828,5367,718,0.28,0.13,"June 2022"
"RN7",15098,3950,3145,766,0.26,0.24,"June 2022"
"RVV",23633,7234,6106,1761,0.31,0.29,"June 2022"
"RXC",13169,3245,3959,161,0.25,0.04,"June 2022"
"RDU",21080,NA,6051,1404,NA,0.23,"June 2022"
"RN5",12186,4296,4386,904,0.35,0.21,"June 2022"
"R1F",5929,1052,1306,388,0.18,0.3,"June 2022"
"RYY",7548,29,0,0,0,NA,"June 2022"
"RWF",19708,2484,6159,603,0.13,0.1,"June 2022"
"RPA",16786,4867,3356,946,0.29,0.28,"June 2022"
"RNU",3082,411,0,0,0.13,NA,"June 2022"
"RTH",14802,5175,7510,712,0.35,0.09,"June 2022"
"RHU",13277,NA,5695,1546,NA,0.27,"June 2022"
"RPC",1495,12,620,0,0.01,0,"June 2022"
"RHW",14935,4083,3554,327,0.27,0.09,"June 2022"
"RA2",6718,3295,2849,585,0.49,0.21,"June 2022"
"RW1",2061,84,158,0,0.04,0,"June 2022"
"RTP",11384,2874,2910,929,0.25,0.32,"June 2022"
"RDR",11616,368,0,0,0.03,NA,"June 2022"
"RHM",12844,4118,4394,281,0.32,0.06,"June 2022"
"RYR",29711,12067,8083,2137,0.41,0.26,"June 2022"
"RJ8",0,0,59,0,NA,0,"June 2022"
"RBD",7128,2062,1741,13,0.29,0.01,"June 2022"
"RDY",0,0,2,0,NA,0,"June 2022"
"RTQ",5123,28,8,0,0.01,0,"June 2022"
"RTE",12069,4954,4001,1074,0.41,0.27,"June 2022"
"RN3",10596,2483,3350,398,0.23,0.12,"June 2022"
"RVJ",8319,3384,4381,963,0.41,0.22,"June 2022"
"REF",17213,3809,3013,1089,0.22,0.36,"June 2022"
"RH8",15674,5635,5396,935,0.36,0.17,"June 2022"
"RD1",7827,3210,3772,661,0.41,0.18,"June 2022"
"RNZ",6611,1800,1915,423,0.27,0.22,"June 2022"
"RH5",16457,3882,2918,523,0.24,0.18,"June 2022"
"RYF",2172,78,0,0,0.04,NA,"June 2022"
"RA9",8651,3934,2781,756,0.45,0.27,"June 2022"
"RA7",16528,6108,4525,1693,0.37,0.37,"June 2022"
"R0D",14214,NA,5817,939,NA,0.16,"June 2022"
"RK9",11998,NA,3162,871,NA,0.28,"June 2022"
"RA4",5617,878,2021,69,0.16,0.03,"June 2022"
"RC9",22652,NA,6014,103,NA,0.02,"July 2022"
"RGT",14481,NA,3143,1308,NA,0.42,"July 2022"
"RWH",15656,5884,2893,501,0.38,0.17,"July 2022"
"RDE",26031,5925,5687,1116,0.23,0.2,"July 2022"
"RY4",939,82,0,0,0.09,NA,"July 2022"
"RGP",7951,2430,2064,796,0.31,0.39,"July 2022"
"RAJ",32673,11009,9849,2309,0.34,0.23,"July 2022"
"RD8",14256,2852,2158,883,0.2,0.41,"July 2022"
"RM1",20141,6707,3791,1552,0.33,0.41,"July 2022"
"RGN",17510,8754,4554,1287,0.5,0.28,"July 2022"
"RQW",10742,4568,2356,781,0.43,0.33,"July 2022"
"RCX",7412,3166,2725,1558,0.43,0.57,"July 2022"
"RWG",15147,5575,3577,1462,0.37,0.41,"July 2022"
"RGR",7711,NA,2396,829,NA,0.35,"July 2022"
"RF4",26407,10942,5115,1811,0.41,0.35,"July 2022"
"R1H",43959,14297,6311,3583,0.33,0.57,"July 2022"
"RYX",8060,184,0,0,0.02,NA,"July 2022"
"RQM",30125,NA,2929,847,NA,0.29,"July 2022"
"RJ6",17178,4585,1322,799,0.27,0.6,"July 2022"
"RVR",14178,3593,2037,944,0.25,0.46,"July 2022"
"RJ1",17004,4019,4126,76,0.24,0.02,"July 2022"
"RQX",11074,2327,1866,224,0.21,0.12,"July 2022"
"RY9",4607,3,0,0,0,NA,"July 2022"
"RYJ",22858,NA,3876,1602,NA,0.41,"July 2022"
"RJZ",24769,10335,4285,2296,0.42,0.54,"July 2022"
"RAX",10757,3013,2709,769,0.28,0.28,"July 2022"
"RJ2",25998,7512,4715,1994,0.29,0.42,"July 2022"
"R1K",28976,7953,7830,1395,0.27,0.18,"July 2022"
"RP6",5633,17,206,0,0,0,"July 2022"
"RAT",2347,117,0,0,0.05,NA,"July 2022"
"RAP",17283,6516,1998,1123,0.38,0.56,"July 2022"
"RAL",25803,8980,3778,1804,0.35,0.48,"July 2022"
"RAN",0,0,29,0,NA,0,"July 2022"
"RJ7",12587,3499,3404,1097,0.28,0.32,"July 2022"
"RAS",13245,3849,2041,685,0.29,0.34,"July 2022"
"RRV",13445,4499,1804,512,0.33,0.28,"July 2022"
"RKE",9118,2825,1092,642,0.31,0.59,"July 2022"
"RQ3",5792,779,1070,0,0.13,0,"July 2022"
"RFS",8730,2233,3189,603,0.26,0.19,"July 2022"
"RYG",0,0,91,0,NA,0,"July 2022"
"RY8",8688,4,0,0,0,NA,"July 2022"
"RLT",8113,1771,1731,588,0.22,0.34,"July 2022"
"RNQ",9777,NA,2241,1029,NA,0.46,"July 2022"
"RY5",8022,262,0,0,0.03,NA,"July 2022"
"RNS",11665,3956,3289,1015,0.34,0.31,"July 2022"
"RX1",17658,NA,7506,1466,NA,0.2,"July 2022"
"RXK",26997,7941,3620,1907,0.29,0.53,"July 2022"
"RK5",15559,3359,3512,763,0.22,0.22,"July 2022"
"R1D",3228,1,5,0,0,0,"July 2022"
"RJC",7309,2623,2547,361,0.36,0.14,"July 2022"
"RNA",16204,3595,4247,570,0.22,0.13,"July 2022"
"RL1",0,0,20,0,NA,0,"July 2022"
"RL4",20424,3873,6197,911,0.19,0.15,"July 2022"
"RXW",13158,6329,4553,1727,0.48,0.38,"July 2022"
"RWD",18112,7227,4835,2008,0.4,0.42,"July 2022"
"RRK",32429,16269,13436,4801,0.5,0.36,"July 2022"
"RKB",20478,6047,4767,1121,0.3,0.24,"July 2022"
"RTG",29199,10892,5897,1302,0.37,0.22,"July 2022"
"RWE",20415,8720,7275,2311,0.43,0.32,"July 2022"
"RJE",22131,8039,7253,1735,0.36,0.24,"July 2022"
"RBK",12641,3414,3696,960,0.27,0.26,"July 2022"
"RWP",17898,6129,4511,1111,0.34,0.25,"July 2022"
"RLQ",6041,2569,1908,542,0.43,0.28,"July 2022"
"RCF",6710,2803,2752,281,0.42,0.1,"July 2022"
"RFF",8856,3265,2998,356,0.37,0.12,"July 2022"
"RAE",12033,3172,3922,922,0.26,0.24,"July 2022"
"RWY",15154,4164,3877,745,0.27,0.19,"July 2022"
"RXP",21487,6579,5966,1948,0.31,0.33,"July 2022"
"RP5",17247,5037,4134,1329,0.29,0.32,"July 2022"
"RR7",9407,2116,2459,896,0.22,0.36,"July 2022"
"RCD",5663,1618,1522,321,0.29,0.21,"July 2022"
"RWA",10734,5657,5140,1393,0.53,0.27,"July 2022"
"RV9",1067,10,0,0,0.01,NA,"July 2022"
"RR8",28791,9333,4652,1947,0.32,0.42,"July 2022"
"RXF",23776,NA,4715,1545,NA,0.33,"July 2022"
"RNN",11251,3128,2825,946,0.28,0.33,"July 2022"
"RVW",15431,NA,4125,421,NA,0.1,"July 2022"
"RJL",13560,5135,4458,1445,0.38,0.32,"July 2022"
"RTF",20573,2156,5968,0,0.1,0,"July 2022"
"RCU",5506,364,1038,1,0.07,0,"July 2022"
"RHQ",18576,4830,5628,1170,0.26,0.21,"July 2022"
"RTR",16310,5199,4021,1238,0.32,0.31,"July 2022"
"R0B",20758,5089,5712,613,0.25,0.11,"July 2022"
