"ltla21_name","ltla21_code","variable","value"
"Armagh City, Banbridge and Craigavon","N09000002","percent_65_and_over_50plus_hours",0.0647346308839921
"Belfast","N09000003","total_5_and_over",325629
"Belfast","N09000003","count_5_and_over_0_hours",285474
"Belfast","N09000003","count_5_and_over_1to19_hours",17134
"Belfast","N09000003","count_5_and_over_20to34_hours",4637
"Belfast","N09000003","count_5_and_over_35to49_hours",5412
"Belfast","N09000003","count_5_and_over_50plus_hours",12972
"Belfast","N09000003","total_5to14_years",42541
"Belfast","N09000003","count_5to14_years_0_hours",42084
"Belfast","N09000003","count_5to14_years_1to19_hours",330
"Belfast","N09000003","count_5to14_years_20to34_hours",33
"Belfast","N09000003","count_5to14_years_35to49_hours",28
"Belfast","N09000003","count_5to14_years_50plus_hours",66
"Belfast","N09000003","total_15to39_years",128269
"Belfast","N09000003","count_15to39_years_0_hours",115606
"Belfast","N09000003","count_15to39_years_1to19_hours",5646
"Belfast","N09000003","count_15to39_years_20to34_hours",1644
"Belfast","N09000003","count_15to39_years_35to49_hours",2297
"Belfast","N09000003","count_15to39_years_50plus_hours",3076
"Belfast","N09000003","total_40to64_years",103973
"Belfast","N09000003","count_40to64_years_0_hours",83035
"Belfast","N09000003","count_40to64_years_1to19_hours",9534
"Belfast","N09000003","count_40to64_years_20to34_hours",2418
"Belfast","N09000003","count_40to64_years_35to49_hours",2627
"Belfast","N09000003","count_40to64_years_50plus_hours",6359
"Belfast","N09000003","total_65_and_over",50846
"Belfast","N09000003","count_65_and_over_0_hours",44749
"Belfast","N09000003","count_65_and_over_1to19_hours",1624
"Belfast","N09000003","count_65_and_over_20to34_hours",542
"Belfast","N09000003","count_65_and_over_35to49_hours",460
"Belfast","N09000003","count_65_and_over_50plus_hours",3471
"Belfast","N09000003","percent_5_and_over_0_hours",0.876684816155809
"Belfast","N09000003","percent_5_and_over_1to19_hours",0.0526181636156485
"Belfast","N09000003","percent_5_and_over_20to34_hours",0.0142401321749598
"Belfast","N09000003","percent_5_and_over_35to49_hours",0.0166201413264789
"Belfast","N09000003","percent_5_and_over_50plus_hours",0.0398367467271035
"Belfast","N09000003","percent_5to14_years_0_hours",0.989257422251475
"Belfast","N09000003","percent_5to14_years_1to19_hours",0.00775722244423027
"Belfast","N09000003","percent_5to14_years_20to34_hours",0.000775722244423027
"Belfast","N09000003","percent_5to14_years_35to49_hours",0.000658188571025599
"Belfast","N09000003","percent_5to14_years_50plus_hours",0.00155144448884605
"Belfast","N09000003","percent_15to39_years_0_hours",0.901277783408306
"Belfast","N09000003","percent_15to39_years_1to19_hours",0.0440168707949699
"Belfast","N09000003","percent_15to39_years_20to34_hours",0.0128168146629349
"Belfast","N09000003","percent_15to39_years_35to49_hours",0.0179076783946238
"Belfast","N09000003","percent_15to39_years_50plus_hours",0.0239808527391653
"Belfast","N09000003","percent_40to64_years_0_hours",0.798620795783521
"Belfast","N09000003","percent_40to64_years_1to19_hours",0.0916968828445846
"Belfast","N09000003","percent_40to64_years_20to34_hours",0.0232560376251527
"Belfast","N09000003","percent_40to64_years_35to49_hours",0.0252661748723226
"Belfast","N09000003","percent_40to64_years_50plus_hours",0.0611601088744193
"Belfast","N09000003","percent_65_and_over_0_hours",0.880088895881682
"Belfast","N09000003","percent_65_and_over_1to19_hours",0.031939582268025
"Belfast","N09000003","percent_65_and_over_20to34_hours",0.0106596389096487
"Belfast","N09000003","percent_65_and_over_35to49_hours",0.00904692601187901
"Belfast","N09000003","percent_65_and_over_50plus_hours",0.0682649569287653
"Causeway Coast and Glens","N09000004","total_5_and_over",133773
"Causeway Coast and Glens","N09000004","count_5_and_over_0_hours",117786
"Causeway Coast and Glens","N09000004","count_5_and_over_1to19_hours",7073
"Causeway Coast and Glens","N09000004","count_5_and_over_20to34_hours",1695
"Causeway Coast and Glens","N09000004","count_5_and_over_35to49_hours",2055
"Causeway Coast and Glens","N09000004","count_5_and_over_50plus_hours",5164
"Causeway Coast and Glens","N09000004","total_5to14_years",17991
"Causeway Coast and Glens","N09000004","count_5to14_years_0_hours",17793
"Causeway Coast and Glens","N09000004","count_5to14_years_1to19_hours",153
"Causeway Coast and Glens","N09000004","count_5to14_years_20to34_hours",17
"Causeway Coast and Glens","N09000004","count_5to14_years_35to49_hours",5
"Causeway Coast and Glens","N09000004","count_5to14_years_50plus_hours",23
"Causeway Coast and Glens","N09000004","total_15to39_years",40900
"Causeway Coast and Glens","N09000004","count_15to39_years_0_hours",37210
"Causeway Coast and Glens","N09000004","count_15to39_years_1to19_hours",1685
"Causeway Coast and Glens","N09000004","count_15to39_years_20to34_hours",446
"Causeway Coast and Glens","N09000004","count_15to39_years_35to49_hours",724
"Causeway Coast and Glens","N09000004","count_15to39_years_50plus_hours",835
"Causeway Coast and Glens","N09000004","total_40to64_years",47568
"Causeway Coast and Glens","N09000004","count_40to64_years_0_hours",38488
"Causeway Coast and Glens","N09000004","count_40to64_years_1to19_hours",4376
"Causeway Coast and Glens","N09000004","count_40to64_years_20to34_hours",976
"Causeway Coast and Glens","N09000004","count_40to64_years_35to49_hours",1103
