"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QHM",2021-02-01,2021,"Feb",62098,308387,83572
"QJ2",2021-02-01,2021,"Feb",16539,103773,18191
"QJG",2021-02-01,2021,"Feb",12006,96566,16389
"QJK",2021-02-01,2021,"Feb",22449,161876,29718
"QJM",2021-02-01,2021,"Feb",9412,46726,7733
"QK1",2021-02-01,2021,"Feb",13145,108691,17564
"QKK",2021-02-01,2021,"Feb",38900,212492,51603
"QKS",2021-02-01,2021,"Feb",23258,163894,30711
"QM7",2021-02-01,2021,"Feb",20078,109495,28315
"QMF",2021-02-01,2021,"Feb",24776,189945,36897
"QMJ",2021-02-01,2021,"Feb",24563,130517,29143
"QMM",2021-02-01,2021,"Feb",12445,115777,19794
"QNC",2021-02-01,2021,"Feb",12933,72707,16673
"QNQ",2021-02-01,2021,"Feb",6793,51607,11050
"QNX",2021-02-01,2021,"Feb",34542,186341,40707
"QOC",2021-02-01,2021,"Feb",8521,58162,10007
"QOP",2021-02-01,2021,"Feb",65247,405051,81782
"QOQ",2021-02-01,2021,"Feb",35995,169784,40808
"QOX",2021-02-01,2021,"Feb",17280,93424,21540
"QPM",2021-02-01,2021,"Feb",8450,50576,13523
"QR1",2021-02-01,2021,"Feb",7312,71042,13935
"QRL",2021-02-01,2021,"Feb",31645,172377,36206
"QRV",2021-02-01,2021,"Feb",37115,185272,46958
"QSL",2021-02-01,2021,"Feb",6815,46089,9064
"QT1",2021-02-01,2021,"Feb",22143,114521,27567
"QT6",2021-02-01,2021,"Feb",8638,36569,10228
"QU9",2021-02-01,2021,"Feb",24668,156735,31870
"QUA",2021-02-01,2021,"Feb",24559,159616,37689
"QUE",2021-02-01,2021,"Feb",18382,101781,22272
"QUY",2021-02-01,2021,"Feb",20594,108131,23784
"QVV",2021-02-01,2021,"Feb",11138,79492,15213
"QWE",2021-02-01,2021,"Feb",30644,137985,37951
"QWO",2021-02-01,2021,"Feb",41397,208422,53622
"QWU",2021-02-01,2021,"Feb",14255,100183,20255
"QXU",2021-02-01,2021,"Feb",20847,94218,26416
"QYG",2021-02-01,2021,"Feb",55976,277508,65978
"QE1",2021-03-01,2021,"Mar",35755,162845,45022
"QF7",2021-03-01,2021,"Mar",44577,146580,49112
"QGH",2021-03-01,2021,"Mar",10365,81917,16440
"QH8",2021-03-01,2021,"Mar",28388,115843,33890
"QHG",2021-03-01,2021,"Mar",18398,85695,26803
"QHL",2021-03-01,2021,"Mar",23481,224286,44625
"QHM",2021-03-01,2021,"Mar",79871,319471,105354
"QJ2",2021-03-01,2021,"Mar",20358,106408,24540
"QJG",2021-03-01,2021,"Mar",16748,94995,20325
"QJK",2021-03-01,2021,"Mar",27096,170275,39836
"QJM",2021-03-01,2021,"Mar",10285,48538,10261
"QK1",2021-03-01,2021,"Mar",18111,113070,23019
"QKK",2021-03-01,2021,"Mar",50437,222382,68731
"QKS",2021-03-01,2021,"Mar",31007,170581,39939
"QM7",2021-03-01,2021,"Mar",23639,116020,34236
"QMF",2021-03-01,2021,"Mar",31637,198363,47561
"QMJ",2021-03-01,2021,"Mar",40822,223002,53974
"QMM",2021-03-01,2021,"Mar",17351,120680,27651
"QNC",2021-03-01,2021,"Mar",15122,76399,20243
"QNQ",2021-03-01,2021,"Mar",9390,55071,13309
"QNX",2021-03-01,2021,"Mar",41607,194575,51332
"QOC",2021-03-01,2021,"Mar",11023,60529,13298
"QOP",2021-03-01,2021,"Mar",76112,419487,101538
"QOQ",2021-03-01,2021,"Mar",44245,174294,52366
"QOX",2021-03-01,2021,"Mar",22100,95778,27235
"QPM",2021-03-01,2021,"Mar",11038,52230,16577
"QR1",2021-03-01,2021,"Mar",10137,72392,17852
"QRL",2021-03-01,2021,"Mar",42412,175299,48665
"QRV",2021-03-01,2021,"Mar",46130,194961,61588
"QSL",2021-03-01,2021,"Mar",9077,48709,11642
"QT1",2021-03-01,2021,"Mar",28694,117849,33096
"QT6",2021-03-01,2021,"Mar",10486,37515,12982
"QU9",2021-03-01,2021,"Mar",31451,162296,41387
"QUA",2021-03-01,2021,"Mar",33626,166988,48808
"QUE",2021-03-01,2021,"Mar",23498,104972,29182
"QUY",2021-03-01,2021,"Mar",25191,110491,28324
"QVV",2021-03-01,2021,"Mar",14916,81614,19966
"QWE",2021-03-01,2021,"Mar",38502,147153,49996
